DOW Number,Name,Area (ha),LakeMaxDepth (m),MeanDepth (m),GeometryRatio,Cisco
77008900,"BIRCH, LITTLE",339.2,27.1,,1.58,Yes
77009500,FULLER,21.8,14.3,,1.5,No
77009600,HENNESSY,19.4,9.7,,2.15,No
77010500,LATIMER,78.1,9.2,5.333739714,3.19,No
77012000,CHARLOTTE,59.9,25.6,,1.08,Yes
77012800,HORSESHOE,47.7,7.3,,3.59,No
77013800,DOWER,31.9,10.3,,2.29,No
77014900,LONG,87,10.9,,2.78,No
77015000,"SAUK, BIG",885.4,18.5,5.18134715,2.93,Yes
77015400,FAIRY,120.2,11.2,5.028954587,2.93,Yes
77016000,CEDAR,63.9,8.5,,3.31,No
77016300,JUERGENS,47.7,6.7,,3.92,No
77016400,"SAUK, LITTLE",108.5,8.8,,3.65,No
77018100,MAPLE,148.5,7,5.0594331,4.98,No
77018200,GUERNSEY,50.6,5.7,,4.6,No
77020100,LITTLE OSAKIS,45.7,13.1,,1.98,No
77021500,OSAKIS,2538.4,22.2,6.09570253,3.19,Yes
77035700,LONG,39.6,10.6,,2.35,No
77035800,LILY,22.6,11.5,,1.88,No
78002400,MUD,663.9,1.9,,25.62,No
78002500,TRAVERSE,4667.2,3.6,2.743066138,22.59,No
79000100,,,,,,No
80003000,"TWIN, SOUTH",158.2,7.9,,4.47,Yes
80003400,BLUEBERRY,211.3,4.5,,8.33,No
80003700,STOCKING,138.8,6.7,2.133495885,5.11,No
80003900,SPIRIT,46.5,13.7,,1.9,No
81000300,ST. OLAF,40,10,,2.5,No
81001400,CLEAR,263.9,10.3,,3.88,No
81001500,LOON,49.3,2.7,,9.66,No
81005500,REEDS,75.7,17.6,,1.66,No
81005800,,,,,,No
81006700,LILY,23.8,7,,3.15,No
81009500,ELYSIAN,770,3.9,2.133495885,13.29,No
82000100,ST. CROIX,3323.4,23.7,,3.19,No
82000400,EDITH,31.1,13.1,,1.8,No
82000900,CLOVERDALE,14.1,8.5,,2.27,No
82001400,,,,,,No
82001500,LOON,19,4.5,,4.56,No
82002100,LONG,44.5,6.7,,3.85,No
82002300,LILY,14.5,15.5,5.394696739,1.25,No
82003000,Long,28.7,3.6,1.981103322,6.32,No
82003300,MAYS,10.1,7.6,,2.34,No
82003400,"BOOT, EAST",13.2,8.2,,2.31,No
82004400,"BOOT, WEST",13.8,10.3,,1.86,No
82004500,CLEAR,12.5,8.2,,2.28,No
82004600,SQUARE,78.9,20.7,,1.43,No
82004900,"CARNELIAN, BIG",187.6,20.1,7.924413289,1.84,No
82005200,"MARINE, BIG",710.9,18.2,,2.82,No
82005400,BONE,85,9.1,,3.32,No
82005900,GOOSE,30.2,7.6,3.840292594,3.07,No
82006700,SAND,18.2,5.4,,3.76,No
82007400,Horseshoe,21.4,3.4,,6.24,No
82008000,SYLVAN,30.1,10.3,,2.26,No
82008700,Unnamed,10,4.8,,3.64,No
82009100,BATTLE CREEK,41.7,4.2,,5.95,No
82009200,POWERS,21.8,12.4,,1.73,No
82009400,Colby,28.3,3.3,2.133495885,6.88,No
82010100,DEMONTREVILLE,57.8,7.3,,3.77,No
82010300,OLSON,31.9,4.5,,5.2,No
82010400,JANE,58.7,11.8,3.962206644,2.32,No
82010600,ELMO,83.4,42.6,9.448338921,0.7,Yes
82011500,TANNERS,28.3,14,,1.64,No
82011800,LONG,19.6,10.3,,2.03,No
82012200,PINE TREE,70.4,9.4,3.047851265,3.06,No
82013000,LONG,19.4,7.6,,2.75,No
82013400,Lost,3.6,7.9,2.581530021,1.74,No
82013700,FISH,8.5,10.3,,1.64,No
82015100,SOUTH SCHOOL SECTION,50.3,7.9,4.754647973,3.36,No
82015300,SUNSET,50.2,5.1,,5.13,No
82015900,FOREST,911.3,11.2,,4.87,No
82016200,SHIELDS,10.5,8.2,,2.18,No
82016300,CLEAR,171.6,8.5,,4.24,No
82016600,CARVER,20.6,10.9,,1.94,No
82016700,WHITE BEAR,978.1,25.2,6.09570253,2.21,No
82028700,ALICE,10.1,2.7,,6.5,No
83002100,FEDJI,74.4,1.8,,16.06,No
83003600,KANSAS,161.1,2.1,1.523925632,16.69,No
83004000,LONG,106.8,3.9,,8.11,No
83004300,ST. JAMES,102,4.8,,6.51,No
83005600,,,,,,No
83006000,Wood,257.8,1.3,0.853398354,30.57,No
85001100,WINONA,129.1,11.5,,2.91,No
85001200,Goodview,26.7,7.9,4.693690948,2.86,No
86000100,,,,,,No
86000900,MARTHA,39.2,6.7,,3.73,No
86001100,Charlotte,95.1,14,6.766229808,2.22,No
86002300,Beebe,121.4,8.2,4.236513258,4.03,No
86004100,DEAN,70,6,3.169765315,4.74,No
86004600,CRAWFORD,44.1,5.7,1.097226455,4.45,No
86005100,CONSTANCE,65.1,7,3.809814081,4.05,No
86005300,Pulaski,284.2,26.5,11.42944224,1.54,No
86006600,BIRCH,30.7,15.8,,1.48,No
86006700,FIRST,6,11.2,,1.39,No
86006800,MUD,9.7,11.2,,1.56,No
86006900,,,,,,No
86007000,BERTRAM,40.4,13.4,,1.88,No
86007300,CEDAR,59.5,14.3,,1.93,No
86008800,MINK,36.8,10.9,,2.24,No
86008900,TAMARACK,21.8,7.9,,2.72,No
86009000,Buffalo,628.3,10,4.480341359,4.97,No
86009500,BLACK,39.2,15.2,,1.64,No
86010300,IDA,31.9,7.9,,3,No
86010600,"WAVERLY, LITTLE",133.6,3.6,2.042060347,9.29,No
86010700,Deer,65.9,8.2,2.743066138,3.46,No
86010800,GOOSE,17,4.2,,4.75,No
86010900,FADDEN,7.6,14.6,,1.13,No
86011400,"Waverly, Big",196.3,21.4,7.772020725,1.74,No
86011600,BIRCH,36.4,7.9,,3.1,No
86011900,SULLIVAN,29.5,17.6,4.724169461,1.31,No
86012000,Ramsey,111.3,24.3,6.522401707,1.33,No
86012300,"TWIN, NORTH",17,17.6,,1.14,No
86012600,"TWIN, SOUTH",16.1,5.7,,3.46,No
86012700,ALBERT,21.4,14.3,,1.5,No
86013101,"BERTHIAUME, N",9.7,13.1,,1.34,No
86013102,"BERTHIAUME, S",9.7,22.2,,0.79,No
86013400,Maple,314.5,23.1,5.729960378,1.81,No
86013700,MARIA,43.7,6,,4.21,No
86014000,SILVER,31.5,12.8,5.150868638,1.85,No
86014600,Ida,93.5,18.2,5.790917403,1.7,No
86014700,"EAGLE, LITTLE",31.9,10,,2.36,No
86014800,EAGLE (LITTLE),98.7,11.5,4.419384334,2.72,No
86015600,MARY,84.6,31,,0.97,No
86016300,LIMESTONE,76.1,10.3,,2.85,No
86016400,Rice,35.6,7.3,,3.33,No
86016800,LOCKE,63.1,14.9,,1.88,No
86017100,,,,,,No
86017700,YAGER,85.8,8.2,2.438281012,3.69,No
86017800,DOG,38,7.6,,3.25,No
86018100,"ROCK, LITTLE",14.5,15.5,,1.25,No
86018200,Rock,70.8,11.2,,2.57,No
86018300,FISH,39.6,11.5,4.02316367,2.16,No
86018400,Dutch,61.9,6.4,,4.38,No
86018800,EMMA,71.6,5.1,,5.61,No
86019000,Ann,156.2,5.6,,6.27,No
86019200,ROUND,19.4,8.5,,2.46,No
86019300,MARY,72.8,14,,2.08,No
86019900,,,,,,No
86021700,GRANITE,137.2,10.3,5.394696739,3.3,No
86021800,MAXIM,19,5.4,,3.8,No
86022100,Camp,43.7,15.8,6.09570253,1.62,No
86022300,Indian,59.1,9.4,,2.93,No
86022700,CEDAR,338.8,32.9,,1.3,Yes
86022900,Mink,121.8,11.8,1.95062481,2.79,No
86023000,Somers,63.9,6.4,3.10880829,4.41,No
86023300,Sugar,410.9,21,,2.14,Yes
86023400,Bass,88.2,10.3,5.150868638,2.95,No
86023800,NIXON,22.6,20.4,4.388905821,1.06,No
86023900,Sheldon,17.4,13.1,,1.55,No
86024200,WIEGAND,17.4,7.3,,2.79,No
86024300,Grass,37.2,10.6,3.008229198,2.31,No
86024700,CASSIDY,6.4,11.2,,1.41,No
86025000,SMITH,91.4,1.5,,20.29,No
86025100,Pleasant,206,22.5,,1.67,Yes
86025200,Clearwater,1278.5,22.2,5.851874429,2.68,Yes
86025201,Clearwater-East,671.3,22.2,6.766229808,2.28,Yes
86025202,Clearwater-West,606.8,21.3,4.937519049,2.32,No
86025600,CHELGREN,23,7.3,,2.99,No
86026300,Cokato,218.2,15.8,,2.42,No
86026400,Brooks,38.8,6.4,3.474550442,3.9,No
86026600,Skifstrom,22.2,19.8,6.278573606,1.09,No
86027100,MOOSE,35.6,13.1,2.956415727,1.86,No
