DOW Number,Name,Area (ha),LakeMaxDepth (m),MeanDepth (m),GeometryRatio,Cisco
03029300,ROCK,424.2,5.4,,8.27,No
03029400,MOMB,17.4,8.2,4.571776897,2.48,No
03030400,"SUGAR BUSH, BIG",191,12.8,,2.9,No
03031300,"SUGAR BUSH, L.",81.7,8.8,,3.4,No
03032300,STRAWBERRY,616.1,12.1,,4.08,Yes
03032800,WHITE EARTH,841.7,36.5,,1.47,Yes
03033200,BASS,49.7,15.2,,1.74,No
03033400,NET,86.2,14.3,,2.12,No
03035000,BUFFALO LAKE,152.2,11.5,,3.03,Yes
03035500,SAUER,85.8,11.8,,2.56,No
03035700,MUNSON,49.7,7.9,,3.35,No
03035800,FOX,54.6,7.3,,3.71,No
03035900,SALLIE,504.4,15.2,5.18134715,3.1,Yes
03036000,MUSKRAT,27.1,5.4,,4.15,No
03036200,"TWIN, EAST",3.6,22.5,10.66747943,0.61,No
03036300,CURFMAN,46.9,7.3,,3.57,No
03037100,MEADOW,28.3,21.9,6.400487656,1.05,Yes
03037300,COTTAGE,12.1,5.4,1.523925632,3.4,No
03037401,JOHNSON,65.1,9.1,,3.1,No
03037402,REEVES,32.7,13.1,,1.82,No
03037600,LIND,15.7,15.5,6.09570253,1.28,No
03037700,MILL LAKE,69.2,3,,9.46,No
03038100,DETROIT,1248.1,27.1,4.510819872,2.19,Yes
03038300,LONG,144.5,18.5,,1.86,Yes
03038600,"FLOYD, LITTLE",82.9,10.3,,2.91,Yes
03038700,FLOYD,490.6,10.3,,4.54,Yes
03047300,BUCK,36.8,4.5,,5.38,No
03047500,Melissa,741.2,11.2,,4.62,Yes
03048400,ELLISON,21,7.3,3.657421518,2.92,No
03048600,PEARL,95.8,16.4,,1.9,No
03049600,ARROW,9.7,4.8,2.133495885,3.62,No
03050000,MAUD,221.4,9.7,,3.95,Yes
03050300,EUNICE,131.5,9.1,,3.7,Yes
03050600,"CORMORANT, L.",374,10.3,5.18134715,4.24,No
03051600,CANARY,24.6,7.6,,2.92,No
03052400,"BARNES, NORTH",19.4,5.4,1.523925632,3.82,No
03052600,MARSHALL,64.3,6.4,,4.42,No
03052800,,,,,,No
03053800,,,,,,No
03057500,LEIF,197.5,7.9,3.962206644,4.73,No
03057600,"CORMORANT, BIG",1385,22.8,,2.66,No
03057900,BOYER,125.5,7.9,3.809814081,4.22,No
03058200,IDA,234.8,6,,6.42,No
03058700,ROSSMAN,97.5,6,2.438281012,5.15,No
03058800,"CORMORANT, UPP",346.5,8.8,,4.88,No
03059500,NELSON,97.5,4.8,3.047851265,6.44,No
03059600,LARSON,27.5,6,2.133495885,3.75,No
03060200,"CORMORANT, MID",145.7,12.1,,2.85,No
03061900,LEE,39.6,3.9,3.047851265,6.33,No
03062400,FORGET ME NOT,146.1,2.1,1.219140506,16.29,No
03063100,"STAKE, SOUTH",182.1,4.5,,8.03,No
03063800,BESEAU,91.4,8.2,,3.75,No
03064400,PEACH,26.3,4.2,,5.3,No
03064600,LIME,39.6,2.4,1.523925632,10.29,No
03064800,"LABELLE, EAST",59.1,5.7,,4.78,No
03065700,TURTLE,59.5,22.2,,1.24,No
03065800,LONG,36,3.9,1.828710759,6.18,No
03065900,SAND,80.5,8.5,,3.51,No
03066000,AXBERG,17.4,4.2,2.133495885,4.78,No
04000700,KITCHI,722.6,15.2,,3.4,Yes
04001100,"MOOSE, BIG",229.9,21.6,,1.79,No
04001500,LITTLE RICE,47.7,7.9,,3.31,No
04002200,WEBSTER,19.2,4.5,,4.58,No
04002400,GILSTAD,119,16.7,,1.97,Yes
04002800,BULLHEAD,17.8,5.1,,3.96,No
04003000,CASS,6314.1,36.5,,2.43,Yes
04003100,RICE (BIG),250.2,3.9,,10.03,Yes
04003200,PIMUSHE,513.3,12.1,,3.9,Yes
04003300,BENJAMIN,11.9,39,,0.47,No
04003400,RABIDEAU,233.6,34.1,,1.14,Yes
04003500,UPPER RED,43656.6,5.4,3.931728132,26.34,No
04003800,ANDRUSIA,611.3,18.2,,2.71,Yes
04003900,SILVER,36.4,16.7,,1.46,No
04004200,BUCK,109.7,12.1,,2.65,Yes
04004300,"LOST, BIG",45.3,9.4,,2.74,No
04004600,MISSION,10.1,6,,2.92,No
04004800,WINDIGO,80.5,7.6,,3.93,No
04004900,BIG,1430.3,10.6,4.297470283,5.76,Yes
04005000,MEADOW,47.7,8.5,,3.08,No
04005300,"TWIN, SOUTH",82.9,13.7,,2.2,No
04005600,CARTER,12.1,21,,0.88,No
04005700,NELSON,11.7,9.1,,2.02,No
04005800,CARLA,7.6,13.7,,1.21,No
04006200,BASS,30.7,17.9,6.09570253,1.3,No
04006300,"TWIN, NORTH",126.7,17.9,,1.86,No
04006400,GULL,46.1,6,,4.27,No
04006900,BLACKDUCK,1051,8.5,,6.67,Yes
04007600,LONG,160.1,26.5,,1.34,No
04007900,"WOLF, BIG",442.9,17.3,,2.64,Yes
04008500,Swenson,157,23.1,9.448338921,1.52,Yes
04008600,STOCKING,30.3,2.7,,8.55,No
04011000,LITTLE BASS,138.8,6.7,,5.11,No
04011100,TURTLE RIVER,704.4,19.2,6.09570253,2.68,Yes
04012000,GULL,908,7,3.047851265,7.83,No
04012200,MEDICINE,180.5,13.4,,2.73,No
04012400,SANDY,105.2,9.7,,3.28,No
04013002,BEMIDJI,2599.1,23.1,10.3626943,3.08,Yes
04013001,STUMP,117.4,7.3,,4.5,No
04013200,"BASS, BIG",153.8,5.1,2.804023164,6.79,No
04013300,"GNAT, LITTLE",13.3,9.1,,2.09,No
04013400,THREE ISLAND,274.4,7.6,,5.34,Yes
04013500,BELTRAMI,219.8,15.2,3.962206644,2.52,Yes
04013600,HAGALI,36,8.2,,2.97,No
04013800,JACKSON,48.5,11.2,,2.34,No
04014000,IRVING,248.1,5.7,3.047851265,6.85,Yes
04014100,CARR,11.7,9.1,,2.02,Yes
04014200,MARQUETTE,204,15.5,,2.43,Yes
04015200,MOVIL,373.6,15.2,,2.88,Yes
04015400,LARSON,72,14.9,,1.95,No
04015500,"TURTLE, LITTLE",187.8,7.6,,4.85,Yes
04015700,BLACK,99.5,12.8,,2.46,Yes
04015900,"TURTLE, BIG",581.3,13.7,,3.58,Yes
04016200,FOX,59.9,5.7,,4.8,Yes
04016600,JULIA,182.1,13.1,,2.8,No
04017200,SILVER,29.1,13.7,3.047851265,1.69,No
04017900,"LINDGREN, UPPER",11.7,13.1,,1.41,No
04019600,CAMPBELL,192.3,7.6,,4.88,Yes
04019800,PUPOSKY,867.2,6,,8.9,No
04021100,BOOT,108,9.1,,3.52,Yes
04021300,STONE,12.9,7.3,,2.59,No
04021700,GRANT,84.1,28,,1.08,Yes
04022400,HARLEY,38.4,6.4,3.047851265,3.89,No
04022700,LONG,291,5.4,,7.52,No
04023000,DEER,106,12.8,,2.5,Yes
04026500,ISLAND,148.9,4.2,,8.18,No
04029700,"BUZZLE, BIG",76.5,25.2,,1.16,Yes
04029800,"BUZZLE, LITTLE",27.5,12.1,,1.87,No
04030000,WHITEFISH,48.5,9.1,,2.88,No
04030400,MYRTLE,46.9,15.2,,1.71,No
04030700,SANDY,40.4,21.9,,1.14,No
04032200,SAND,75.3,11.5,,2.54,No
04032600,MOOSE,47.3,18.5,,1.41,No
04032900,BALM,207.2,10,,3.77,No
04033100,DELWATER,80.2,8.8,2.438281012,3.38,No
04034200,MOOSE,50.2,3.9,,6.71,No
04034300,CLEARWATER,408,19.8,,2.26,Yes
04038200,THREE CORNER,4,16.1,,0.87,No
04038500,UNNAMED,2.8,13.7,,0.94,No
04064900,LUDLOW PIT,2.8,5.1,,2.5,No
05000700,MAYHEW,53,6,,4.42,No
05001300,"ROCK,LITTLE",587,7,,7.02,No
05200000,SPRING,4.8,1.2,,12.17,No
06000100,MARSH,1821.8,1.5,0.914355379,42.87,No
06000200,ARTICHOKE,795.1,4.7,,11.24,No
06002000,LONG,135.6,3,,11.19,No
06002800,PETERSON,22.2,6,,3.56,No
06002900,LONG TOM,53.8,4.5,,5.92,No
06005000,Otrey,227.5,2.4,1.523925632,15.92,No
06006000,NORTH LONG TOM,9.7,3.9,,4.45,No
06009300,MUNNWYLER,11.3,6.8,,2.67,No
06010300,,,,,,No
06012100,BOTKERS,14.5,5.6,,3.46,No
06012900,Eli,56.2,1.5,,17.97,No
06013800,EAST TOQUA,173.2,2.7,1.828710759,13.22,No
06013900,Lannon,85.4,1.2,,24.93,No
06014700,North Rockwell Slough,158.7,3.9,,8.95,No
06015200,BIG STONE,5105.2,4.8,3.352636391,17.33,No
06017000,Barry,159.1,2.6,1.981103322,13.24,No
07004400,MADISON,450.6,17.9,,2.56,No
07004700,GEORGE,32.3,8.5,,2.79,No
07005300,DUCK,114.1,7.6,,4.28,No
07005400,BALLANTYNE,141.7,17.6,,1.95,No
07006000,EAGLE,370,2.7,,15.98,No
07007900,LURA,495.5,2.7,1.523925632,17.2,No
07009000,Ida,48.5,2.4,1.523925632,10.82,No
07009600,LOON,305.6,2.1,,19.59,No
07009700,MILLS,92.7,2.1,1.828710759,14.54,No
07009800,CRYSTAL,159.1,2.4,,14.56,No
07014700,HINIKER,6,6.4,,2.45,No
07015800,DOROTHY,4.8,5.1,,2.86,No
07015900,LION'S LAKE,2.8,2.1,,6.08,No
07016000,TROOST POND,1.2,13.7,,0.76,No
07016100,EAGLE LAKE POND,0.4,1.5,,5.23,No
08001100,CLEAR,135.6,2.4,1.523925632,13.99,No
08002600,HANSKA,717.8,4.8,1.371533069,10.61,No
08004500,SLEEPY EYE,91.9,6.4,2.133495885,4.83,No
08012800,SCHWARZROCK PIT,2,4.5,,2.6,No
08012900,Wellner-Hageman Reservoir,28.3,7.3,,3.15,No
09000100,THOMSON RES,137.2,6.7,,5.1,No
09000300,GRAHAM,13.8,6.4,,3.01,No
09000400,SOPER,12.5,3.3,,5.61,No
09000500,Bear,21.3,8.5,,2.51,No
09000600,BLACKHOOF,15.7,2.7,,7.26,No
09000700,SPRING,12.9,7.6,,2.48,No
09000800,CHUB,125.9,8.5,4.571776897,3.92,No
09000900,Venoah,31.1,7.6,,3.1,No
09001000,HAY,87,4.8,,6.26,Yes
09001500,ELLSTROM,12.5,3.9,,4.75,No
09001600,SAND,49.7,8.2,0.914355379,3.22,No
09001900,MUNSON,14.5,7,,2.78,No
09002200,TWENTYNINE,20.2,7.6,,2.78,No
09002500,Torch Light,54.5,4.2,2.133495885,6.36,No
09002600,BOB,29.9,8.9,4.206034746,2.6,No
09002900,PARK,152.1,4.8,1.523925632,7.2,No
09003200,BIG,214.3,7.6,2.438281012,5.02,No
09003400,BEAR,36.8,9.4,3.352636391,2.6,Yes
09003500,"HANGING HORN, L",47.3,21.3,,1.22,Yes
09003800,HANGING HORN,165.1,24.3,,1.47,Yes
09003900,EDDY,9.3,11.2,,1.54,No
09004100,MOOSEHEAD,118.2,5.4,3.657421518,6.01,No
09004300,MOOSE,50.6,20.4,7.010057909,1.3,No
09004400,ECHO,42.3,14.3,6.09570253,1.78,No
09004500,COFFEE,27.7,16.1,6.09570253,1.42,No
09004600,BANG,21.4,2.7,1.828710759,7.84,No
09004800,CORONA,9.9,9.1,,1.94,No
09005700,EAGLE,153.8,10.6,7.010057909,3.3,No
09006001,"ISLAND, UPPER",40.8,7.6,2.560195062,3.31,No
09006002,"ISLAND, LOWER",113.7,6.7,2.743066138,4.87,No
09006200,CROSS,40.8,7,2.438281012,3.6,No
09006700,TAMARACK,92.3,14.6,,2.11,No
09006800,COLE,62.1,7.3,3.352636391,3.83,No
09013900,ROGERS,2.8,3,,4.25,No
09016700,FON DU LAC RES.,87.8,17.9,,1.7,No
09016800,KNIFE FALLS RES,24.6,9.7,,2.28,No
09016900,SCANLON RES,25.5,19.8,,1.13,No
10000200,Riley,120.2,14.9,,2.21,No
10000500,COURTHOUSE,4,17.3,,0.81,No
10000600,Lotus,99.5,8.8,,3.57,No
10000700,LUCY,37.2,6,,4.05,No
10000900,Minnewashta,298.7,21.3,4.571776897,1.94,No
10001000,TAMARACK,9.8,24.9,,0.7,No
10001100,ST. JOE,5.6,15.8,,0.97,No
10001200,ANN,46.9,13.7,,1.9,No
10001300,SUSAN,37.6,5.1,,4.78,No
10001500,VIRGINIA,44.5,10.3,,2.49,No
10001800,SCHUTZ,42.5,14.9,,1.7,No
10001900,BAVARIA,65.5,20.1,,1.41,No
10002800,AUE,13.7,8.2,,2.34,No
10002900,MILLER,56.6,4.2,,6.43,No
10004100,ZUMBRA,65.7,17.6,4.266991771,1.61,No
10004200,PARLEY,97.9,5.4,,5.73,No
10004400,AUBURN,105.6,25.6,7.010057909,1.25,No
10004500,STEIGER,64,11.2,,2.5,No
10004600,CHURCH,4.9,16.4,,0.9,No
10004700,Kelser's Pond,7.2,10.3,4.266991771,1.58,No
10004800,WASSERMAN,61.9,12.4,3.047851265,2.24,No
10005100,TURBID,16.1,11.2,,1.77,No
10005200,REITZ,32.1,10.9,,2.16,No
10005300,PIERSON,95.1,12.1,,2.56,No
10005600,STONE,40.3,9.1,,2.75,No
10005800,Maria,71.2,1.8,1.523925632,15.88,No
10005900,WACONIA,1212.9,11.2,,5.23,No
10008400,BURANDTS,37.6,7.3,,3.38,No
10008800,HYDES,86.9,5.4,,5.56,No
10008900,GOOSE,159.5,3,,11.66,No
10009300,OAK,137.2,3.3,,10.2,No
10009500,SWEDE,152.2,3.6,,9.6,No
10012100,EAGLE,94.3,4.2,,7.3,No
10021800,Unnamed (Grace),22.6,6.7,3.505028955,3.25,No
10022500,CHASKA CLAY PIT,6.8,13.1,,1.23,No
10022600,FIREMAN'S,3.7,7,2.133495885,1.99,No
11000500,EGG,36.4,2.4,,10.07,No
11000600,MORRISON,65.9,14.9,,1.9,No
11000900,"THUNDER, LITTLE",109.3,21.9,8.838768668,1.47,Yes
11001000,WINDY,38,8.8,,2.81,No
11001700,BIRCH,103.2,9.1,,3.48,No
11002000,THIEBAULT,16.1,5.7,2.438281012,3.46,No
11002200,SPRING,36,14,,1.74,No
11002300,LONG,47.7,10,,2.61,No
11002400,LOON,12.9,4.2,,4.44,No
11002600,,,,,,No
11002800,JOHNSON,13.3,6,4.571776897,3.13,No
11002900,,,,,,No
11003000,"VERMILLION, L.",53.8,16.7,,1.61,Yes
11003400,DEAD HORSE,12.1,21.3,12.19140506,0.87,No
11003700,LEAVITT,52.6,18.2,,1.47,Yes
11003800,MICHAUD,43.3,13.7,,1.87,No
11004100,FOLSTON,10.9,2.1,,8.52,No
11004300,ROOSEVELT,641.7,39.3,,1.28,Yes
11004500,MARGARET,5.6,14.9,,1.03,No
11004600,MARION,4,18.2,,0.77,No
11004700,MULE,25.1,13.7,,1.63,Yes
11005000,"ANDRUS, BIG",17.8,16.7,4.876562024,1.22,No
11005100,SNAKE,4.8,9.7,,1.52,No
11005300,LAWRENCE,84.2,21.3,,1.41,Yes
11005400,"ANDRUS, LITTLE",10.1,11.2,,1.58,No
11005500,PAVELGRIT,7.2,7.6,,2.15,No
11005900,WASHBURN,629.1,33.8,,1.48,Yes
11006100,PUGHOLE,28.3,14.3,,1.61,Yes
11006200,BIG THUNDER,538.4,28.9,,1.66,Yes
11006300,"BASS, LITTLE",45.3,9.1,,2.83,No
11006800,KIDNEY,22.2,16.7,,1.29,No
11006900,"BASS, BIG",86.2,16.7,,1.81,Yes
11007300,"RICE, BIG",1146.5,1.5,,38.18,No
11007700,"SAND, BIG",297.9,7,,5.92,No
11008000,"MILTON, LOWER",26.3,14.3,,1.58,No
11008100,"MILTON, UPPER",11.3,10.6,,1.72,No
11008200,CEDAR,7.6,8.5,,1.95,No
11008500,SULLIVAN,16.1,15.2,,1.31,No
11008600,GRAVE,152.6,16.7,,2.09,No
11008700,KNIGHT,42.5,5.1,,4.92,No
11009200,"SAND, LITTLE",163.1,3.6,,9.77,No
11009300,WILSON,27.5,3.9,,5.78,No
11009400,TIDD,24.2,22.8,,0.97,No
11010100,GEORGE,291.4,6,,6.77,No
11010200,ISLAND,112.1,13.7,,2.37,No
11010500,"TRELIPE, UPPER",165.5,21,,1.7,Yes
11011000,Pistol Lake,29.5,6,,3.82,No
11011400,Mitten,43.7,8.5,,3.01,No
11011500,Hoister,5.5,7.6,3.535507467,2.01,No
11011600,STEVENS,42.5,19.2,,1.32,No
11011700,TWENTY-SIX,34.5,3.6,,6.62,No
11012000,INGUADONA,451.8,24,6.187138068,1.91,Yes
11012100,MABEL,66.8,4.2,,6.7,No
11012600,PHELON,10.1,13.7,,1.3,No
11012900,"TRELIPE, LOWER",243.7,9.7,,4.05,Yes
11013100,"SWIFT, LITTLE",25.1,7.6,3.657421518,2.93,No
11013300,SWIFT,142.5,15.8,4.266991771,2.18,Yes
11013600,Lomish,114.1,4.5,1.219140506,7.14,No
11014200,LONG,374.8,35,,1.25,Yes
11014300,"BOY, BIG",1289.8,13.7,,4.36,Yes
11014600,SIX MILE,521.4,20.7,,2.3,Yes
11014700,WINNIBIGOSHISH,22859,22.5,,5.49,Yes
11015500,BLIND,33.2,6,3.657421518,3.94,No
11015600,LAKE LOUISE,18.5,7.9,,2.62,No
11016200,RICE LAKE,100.4,9.1,,3.46,No
11016300,COOPER,59.5,21.3,,1.3,Yes
11016600,SHURD,21.8,20.4,,1.05,No
11016700,"BOY, LITTLE",555.4,22.5,,2.15,Yes
11016900,HEFFRON,18.8,10.6,,1.95,No
11017000,Hunter,58.7,13.7,,2.01,No
11017100,WABEDO,479.7,28.9,,1.61,Yes
11017400,GIRL,164.3,24.6,,1.45,Yes
11017700,THREE ISLAND,70,3.9,,7.3,No
11018100,,,,,,No
11018200,KEGO,33,12.1,3.352636391,1.96,No
11018300,BOXELL,24.2,8.2,,2.69,No
11018800,Carnahan,9.3,7.6,,2.29,No
11019000,TOWNLINE,206.4,3.3,,11.3,No
11019900,HAY,141.7,17,,2.02,Yes
11020000,MULE,184.6,14.3,,2.57,Yes
11020100,WOMAN,1936,16.4,,4.03,Yes
11020101,BROADWATER BAY,289,14.3,14.32490094,2.87,Yes
11020200,SILVER,36.2,6,,4.02,No
11020300,LEECH,45152.6,45.7,5.63852484,3.18,Yes
11020400,PORTAGE,602.4,16.7,,2.95,Yes
11020900,HARDY,38.4,7.9,,3.14,No
11021100,SCHOOL SECTION,33.1,12.8,,1.87,No
11021600,AGATE,60.7,3.6,,7.63,No
11021800,"GULL, UPPER",150.2,16.4,,2.12,Yes
11022000,RAY,55,8.2,,3.31,Yes
11022200,MARGARET,89.8,7.9,,3.88,Yes
11022600,LOON,95.9,7.6,,4.1,No
11022900,HORSESHOE,34.4,7.9,,3.05,No
11023200,HATTIE,195.9,9.1,5.486132277,4.09,Yes
11023400,PONTO,140.4,18.2,,1.88,No
11023700,DEEP PORTAGE,49.6,32,12.19140506,0.82,Yes
11024200,HAND,108.9,17.3,,1.85,Yes
11024300,TWO,18.3,7.6,,2.71,No
11024400,,,,,,No
11024600,Sylvan,39.6,7.9,,3.16,No
11025000,ADA,394.3,18.2,,2.43,Yes
11025400,BASS,37.8,8.5,,2.9,No
11025700,ISLAND,71.2,12.1,,2.38,No
11025800,LONG#2,84.6,11.2,,2.68,No
11025900,PRIMER,16,11.2,,1.77,No
11026100,MCKEOWN,59.5,11.2,1.523925632,2.46,Yes
11026200,KID,67.6,15.8,,1.8,Yes
11026300,CHILD,127.9,8.8,,3.8,Yes
11026500,LITTLE WOMAN,12.4,4.2,,4.4,No
11026600,Squeedunk,7.6,10.6,2.743066138,1.56,No
11026800,KERR LAKE,29.8,24,,0.97,No
11026900,,,,,,No
11027000,TRILLIUM,55,14.6,,1.86,No
11027200,IXL,41.2,12.1,,2.07,No
11027300,WIDOW,72.8,14,,2.08,No
11027400,BLACKWATER,292.3,20.4,,2.02,Yes
11027500,LITTLE SAND,17.4,2.4,,8.37,No
11027700,"DEEP, BIG",195.9,32.6,,1.14,Yes
11027900,SAND,54.2,16.4,,1.64,No
11028100,BARNUM,54.2,9.1,,2.96,No
11028200,MANN,180.1,28.3,,1.29,Yes
11028300,BABY,285.2,21,9.448338921,1.95,Yes
11028400,HORSESHOE,50.2,3.6,2.224931423,7.27,No
11028500,RAT,41.2,10.6,,2.37,Yes
11028900,CEDAR,57,12.8,,2.14,Yes
11029200,PINE,74,7.6,3.657421518,3.85,No
11029500,HAZEL,4.9,11.5,,1.28,No
11029600,MOCCASIN,98.3,28.9,,1.08,No
11029700,STOCKING,13.7,13.4,3.657421518,1.43,No
11030400,SYLVAN,325.1,17.3,,2.44,Yes
11030500,GULL,3812.9,24.3,,3.22,Yes
11030700,NORWAY,212.1,3.6,,10.43,No
11030800,"PORTAGE, BIG",371.6,7,,6.26,No
11031100,WEBB,305.2,25.6,6.370009144,1.63,No
11031200,TEEPEE,7.3,9.4,2.743066138,1.74,No
11031300,"SUCKER, LOWER",236.8,10.6,,3.67,Yes
11031400,LYDICK,22.6,6,,3.57,No
11031600,"SUCKER, UPPER",48.5,7.6,,3.46,No
11031700,"SUCKER, MIDDLE",80.9,6,,4.92,No
11032000,PILLAGER,83.4,11.8,,2.54,Yes
11032300,"LONG, LITTLE",10.9,6.7,,2.71,No
11032400,ROCK,97.1,5.1,,6.05,No
11032800,LONG,43.3,20.7,,1.23,No
11032900,BEAUTY,6.8,11.8,,1.36,No
11033000,GREEN BASS,16.5,8.2,,2.45,No
11034300,BOOT,21.4,4.2,,5.04,No
11035000,BOWEN,71.2,7.6,,3.81,Yes
11035100,FIVE POINT,88.6,11.2,,2.72,Yes
11035200,PICKEREL,22.9,5.4,,3.99,No
11035300,BEUBER,44.9,9.7,,2.65,No
11035500,OX YOKE,67.2,12.8,,2.23,No
11035600,Rainy,52.2,8.8,,3.04,No
11035800,HORSESHOE,91,15.5,,1.98,No
11036100,SANBURN,94.3,14.6,,2.13,No
11036200,FAWN,15.5,8.8,,2.24,No
11036300,JOHNSON,30.4,16.7,9.143553795,1.4,No
11036600,BROOKWAY,34.4,5.1,,4.67,No
11036700,LIND,152.6,8.2,,4.27,Yes
11037100,STONY,240.8,15.2,,2.58,No
11037400,Larson,76.5,22.2,,1.32,No
11037900,FISH,15.7,13.1,,1.52,No
11038100,PAQUET LAKE,48,5.7,,4.54,No
11038300,PLEASANT,420.2,21.9,,2.06,Yes
11038700,"WEBB, LITTLE",67.8,11.2,,2.54,No
11038900,HANSON,11.7,8.5,,2.16,No
11039100,"HANSON, BIG",6.8,28.9,,0.55,No
11039300,BAG,8.7,23.4,,0.73,No
11039400,HOVDE,53,7.9,,3.4,No
11039500,LONG,22.6,13.1,,1.66,No
11039600,DIAMOND,33.1,9.4,,2.54,No
11039700,BLUEBILL,17.7,1.9,,10.36,No
11039800,LAKE 418,4.8,13.7,,1.08,No
11039900,Cub,7.6,7.3,,2.27,No
11040000,JACK,81.3,33.5,,0.89,Yes
11040100,Turtle,27.4,7,,3.26,No
11040400,DEEP,8.7,18.8,,0.91,No
11041100,PINE MOUNTAIN,634.4,24.3,,2.05,Yes
11041200,BIRCH,519.8,13.7,3.047851265,3.48,Yes
11041300,TEN MILE,1890.2,63.3,15.97074063,1.04,Yes
11041500,PIKE BAY,1927.1,28.9,7.619628162,2.28,Yes
11045400,LONG,50.6,14.6,,1.82,No
11045500,LEE,7.9,7.3,,2.29,No
11045600,SLEEPY ISLAND,5.5,7,,2.18,No
11046000,JACKPINE,57,1.8,,15.03,No
11046100,,,,,,No
11046300,Variety,58.7,8.8,5.486132277,3.13,No
11046400,THIRD,8.9,10.3,,1.66,No
11046500,FOURTH,17.5,19.8,,1.03,No
11046600,FIFTH LAKE,18.4,18.2,,1.13,Yes
11046700,SIXTH,5.6,8.8,,1.74,No
11046800,ALICE,23,16.7,,1.3,No
11046900,ANOWAY,8.9,13.7,,1.25,Yes
11047200,HOWARD,147.8,18.2,,1.9,Yes
11047400,"BASS, BIG",106.8,10,,3.19,No
11047500,GADBOLT,27.9,4.5,,5.02,No
11047600,PORTAGE,112.9,25.6,,1.27,Yes
11047700,"BASS, LITTLE",42.7,4.8,2.560195062,5.24,No
11048000,LONG,109.7,24.3,,1.32,Yes
11048100,CEDAR,13.3,4.5,,4.17,No
11048200,MAY,49.7,17.9,,1.47,Yes
11048300,Swamp,221.8,10.9,,3.51,No
11048400,TWIN,68.8,1.5,,18.9,No
11048700,"TWIN, LITTLE",16.3,9.1,,2.19,No
11048800,THIRTEEN,190.2,15.2,,2.43,No
11049000,PORTAGE,144.1,19.8,,1.74,Yes
11049300,WELSH,76.1,17.9,,1.64,Yes
11049400,CROOKED,213.7,22.5,,1.69,Yes
11050000,SPIDER,34.4,5.1,,4.67,No
11050200,Crystal,79.7,12.1,,2.45,No
11050400,STEAMBOAT,718.6,28.3,,1.82,Yes
11050500,"WOLF, LITTLE",198.3,7.3,3.626943005,5.13,No
11056400,WILLARD,2.9,11.8,,1.1,No
11082600,PERCH,5.1,11.8,,1.26,No
11086600,TAMARACK,4.3,13.1,,1.1,Yes
11088100,,,,,,No
11089200,Million,7.2,6,,2.69,No
11099800,DONUT,13.7,5.4,,3.51,No
11101400,LOST,0.8,11.5,,0.81,No
11101600,JAKE'S POND,3.6,2.4,,5.66,No
13000800,PEARSON,9.3,26.8,,0.65,No
13001000,PETERSON,6,5.7,,2.71,No
13001100,OGRENS,18.6,12.4,,1.66,No
13001200,CHISAGO,353.4,10.3,,4.18,No
13001300,KROON,77.7,9.1,1.523925632,3.24,No
13001400,LINN,72.8,4.5,1.828710759,6.39,No
13001900,SPIDER,65.9,2.7,,10.39,No
13002300,MOODY,14.1,14.6,,1.32,No
13002700,SOUTH CENTER,338,33.2,,1.29,No
13002800,"LINDSTROM, S",202.1,10.3,5.272782688,3.63,No
13003100,SUNRISE,300.4,6.4,1.219140506,6.5,No
13003200,NORTH CENTER,293.5,14,2.133495885,2.95,No
13003300,LITTLE,64.3,7,,4.04,No
13003400,Pioneer,31.1,2.4,,9.69,No
13003500,"LINDSTROM, N.",55.4,8.8,,3.08,No
13004100,GREEN,693.9,9.7,2.743066138,5.26,No
13005300,"COMFORT, BIG",88.6,14.3,6.400487656,2.14,No
13005400,"COMFORT,LITTLE",14.5,17,,1.14,No
13005901,South Sunrise Pool,198.1,2.1,,17.58,No
13005903,North Sunrise Pool,233.8,1.8,,21.38,No
13006800,FISH,123.8,17.3,4.876562024,1.92,No
13006901,"RUSH, EAST",550.2,7.3,,6.62,No
13006902,"RUSH, WEST",592.7,12.8,,3.85,No
13007200,NEANDER,21,5.1,,4.13,No
13007300,HORSESHOE,79.7,16.1,3.962206644,1.85,No
13007400,MANDALL,15.3,7.9,,2.49,No
13007900,RABOUR,19.4,13.1,,1.6,No
13008000,HORSESHOE L.,14.5,13.1,,1.49,No
13008300,GOOSE,305.2,16.7,4.571776897,2.49,No
14000400,TILDE,104.8,3.9,2.743066138,8.07,No
14002100,TEN,37.2,5.1,2.743066138,4.76,No
14003000,FIFTEEN,56.2,6.7,3.047851265,4.08,No
14004900,LEE LAKE,54.2,10.9,,2.47,No
14005800,PERCH,13.7,5.1,3.657421518,3.71,No
14008000,,,,,,No
14010000,SILVER,46.1,11.8,,2.19,No
15000100,"LASALLE, UPPER",89.4,14.6,,2.1,Yes
15000400,BOGUS,15.3,9.1,,2.16,No
15000500,OZAWINDIB,61.1,24.3,,1.14,No
15000800,"TWIN, N & S",36.8,13.7,,1.79,No
15001000,ELK,109.7,28.3,9.753124048,1.14,Yes
15001600,ITASCA,436,12.1,5.272782688,3.74,Yes
15001800,MALLARD,39.6,5.1,,4.84,No
15002200,DANIEL,24.6,8.2,,2.7,No
15003800,FALK,26.3,10,,2.25,No
15004000,BAGLEY,38,11.8,,2.08,No
15005000,Long,19.5,10.9,,1.91,No
15005700,LONG,58.7,24.3,,1.13,No
15005800,HEART,83.4,16.7,,1.8,No
15005900,Upper Rice,683.8,3.9,1.828710759,12.9,No
