"id"	"time.start"	"time.end"	"variable"	"file.name"
"nhd_10596466"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_10596466_19790104.20160101_vgrd10m.RData"
"nhd_10596502"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_10596502_19790104.20160101_apcpsfc.RData"
"nhd_10596502"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_10596502_19790104.20160101_dlwrfsfc.RData"
"nhd_10596502"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_10596502_19790104.20160101_dswrfsfc.RData"
"nhd_10596502"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_10596502_19790104.20160101_pressfc.RData"
"nhd_10596502"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_10596502_19790104.20160101_spfh2m.RData"
"nhd_10596502"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_10596502_19790104.20160101_tmp2m.RData"
"nhd_10596502"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_10596502_19790104.20160101_ugrd10m.RData"
"nhd_10596502"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_10596502_19790104.20160101_vgrd10m.RData"
"nhd_10596552"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_10596552_19790104.20160101_apcpsfc.RData"
"nhd_10596552"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_10596552_19790104.20160101_dlwrfsfc.RData"
"nhd_10596552"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_10596552_19790104.20160101_dswrfsfc.RData"
"nhd_10596552"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_10596552_19790104.20160101_pressfc.RData"
"nhd_10596552"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_10596552_19790104.20160101_spfh2m.RData"
"nhd_10596552"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_10596552_19790104.20160101_tmp2m.RData"
"nhd_10596552"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_10596552_19790104.20160101_ugrd10m.RData"
"nhd_10596552"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_10596552_19790104.20160101_vgrd10m.RData"
"nhd_10597310"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_10597310_19790104.20160101_apcpsfc.RData"
"nhd_10597310"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_10597310_19790104.20160101_dlwrfsfc.RData"
"nhd_10597310"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_10597310_19790104.20160101_dswrfsfc.RData"
"nhd_10597310"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_10597310_19790104.20160101_pressfc.RData"
"nhd_10597310"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_10597310_19790104.20160101_spfh2m.RData"
"nhd_10597310"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_10597310_19790104.20160101_tmp2m.RData"
"nhd_10597310"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_10597310_19790104.20160101_ugrd10m.RData"
"nhd_10597310"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_10597310_19790104.20160101_vgrd10m.RData"
"nhd_10597314"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_10597314_19790104.20160101_apcpsfc.RData"
"nhd_10597314"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_10597314_19790104.20160101_dlwrfsfc.RData"
"nhd_10597314"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_10597314_19790104.20160101_dswrfsfc.RData"
"nhd_10597314"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_10597314_19790104.20160101_pressfc.RData"
"nhd_10597314"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_10597314_19790104.20160101_spfh2m.RData"
"nhd_10597314"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_10597314_19790104.20160101_tmp2m.RData"
"nhd_10597314"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_10597314_19790104.20160101_ugrd10m.RData"
"nhd_10597314"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_10597314_19790104.20160101_vgrd10m.RData"
"nhd_10847960"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_10847960_19790104.20160101_apcpsfc.RData"
"nhd_10847960"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_10847960_19790104.20160101_dlwrfsfc.RData"
"nhd_10847960"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_10847960_19790104.20160101_dswrfsfc.RData"
"nhd_10847960"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_10847960_19790104.20160101_pressfc.RData"
"nhd_10847960"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_10847960_19790104.20160101_spfh2m.RData"
"nhd_10847960"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_10847960_19790104.20160101_tmp2m.RData"
"nhd_10847960"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_10847960_19790104.20160101_ugrd10m.RData"
"nhd_10847960"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_10847960_19790104.20160101_vgrd10m.RData"
"nhd_10848066"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_10848066_19790104.20160101_apcpsfc.RData"
"nhd_10848066"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_10848066_19790104.20160101_dlwrfsfc.RData"
"nhd_10848066"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_10848066_19790104.20160101_dswrfsfc.RData"
"nhd_10848066"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_10848066_19790104.20160101_pressfc.RData"
"nhd_10848066"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_10848066_19790104.20160101_spfh2m.RData"
"nhd_10848066"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_10848066_19790104.20160101_tmp2m.RData"
"nhd_10848066"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_10848066_19790104.20160101_ugrd10m.RData"
"nhd_10848066"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_10848066_19790104.20160101_vgrd10m.RData"
"nhd_10848220"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_10848220_19790104.20160101_apcpsfc.RData"
"nhd_10848220"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_10848220_19790104.20160101_dlwrfsfc.RData"
"nhd_10848220"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_10848220_19790104.20160101_dswrfsfc.RData"
"nhd_10848220"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_10848220_19790104.20160101_pressfc.RData"
