"id"	"time.start"	"time.end"	"variable"	"file.name"
"nhd_10596552"	"1980-01-01"	"2099-12-31"	"dlwrfsfc"	"GFDL_nhd_10596552_19800101.20991231_dlwrfsfc.RData"
"nhd_10596552"	"1980-01-01"	"2099-12-31"	"dswrfsfc"	"GFDL_nhd_10596552_19800101.20991231_dswrfsfc.RData"
"nhd_10596552"	"1980-01-01"	"2099-12-31"	"precip"	"GFDL_nhd_10596552_19800101.20991231_precip.RData"
"nhd_10596552"	"1980-01-01"	"2099-12-31"	"relhumperc"	"GFDL_nhd_10596552_19800101.20991231_relhumperc.RData"
"nhd_10596552"	"1980-01-01"	"2099-12-31"	"snow"	"GFDL_nhd_10596552_19800101.20991231_snow.RData"
"nhd_10596552"	"1980-01-01"	"2099-12-31"	"windspeed"	"GFDL_nhd_10596552_19800101.20991231_windspeed.RData"
"nhd_10597310"	"1980-01-01"	"2099-12-31"	"airtemp"	"GFDL_nhd_10597310_19800101.20991231_airtemp.RData"
"nhd_10597310"	"1980-01-01"	"2099-12-31"	"dlwrfsfc"	"GFDL_nhd_10597310_19800101.20991231_dlwrfsfc.RData"
"nhd_10597310"	"1980-01-01"	"2099-12-31"	"dswrfsfc"	"GFDL_nhd_10597310_19800101.20991231_dswrfsfc.RData"
"nhd_10597310"	"1980-01-01"	"2099-12-31"	"precip"	"GFDL_nhd_10597310_19800101.20991231_precip.RData"
"nhd_10597310"	"1980-01-01"	"2099-12-31"	"relhumperc"	"GFDL_nhd_10597310_19800101.20991231_relhumperc.RData"
"nhd_10597310"	"1980-01-01"	"2099-12-31"	"snow"	"GFDL_nhd_10597310_19800101.20991231_snow.RData"
"nhd_10597310"	"1980-01-01"	"2099-12-31"	"windspeed"	"GFDL_nhd_10597310_19800101.20991231_windspeed.RData"
"nhd_10597314"	"1980-01-01"	"2099-12-31"	"airtemp"	"GFDL_nhd_10597314_19800101.20991231_airtemp.RData"
"nhd_10597314"	"1980-01-01"	"2099-12-31"	"dlwrfsfc"	"GFDL_nhd_10597314_19800101.20991231_dlwrfsfc.RData"
"nhd_10597314"	"1980-01-01"	"2099-12-31"	"dswrfsfc"	"GFDL_nhd_10597314_19800101.20991231_dswrfsfc.RData"
"nhd_10597314"	"1980-01-01"	"2099-12-31"	"precip"	"GFDL_nhd_10597314_19800101.20991231_precip.RData"
"nhd_10597314"	"1980-01-01"	"2099-12-31"	"relhumperc"	"GFDL_nhd_10597314_19800101.20991231_relhumperc.RData"
"nhd_10597314"	"1980-01-01"	"2099-12-31"	"snow"	"GFDL_nhd_10597314_19800101.20991231_snow.RData"
"nhd_10597314"	"1980-01-01"	"2099-12-31"	"windspeed"	"GFDL_nhd_10597314_19800101.20991231_windspeed.RData"
"nhd_10847960"	"1980-01-01"	"2099-12-31"	"airtemp"	"GFDL_nhd_10847960_19800101.20991231_airtemp.RData"
"nhd_10847960"	"1980-01-01"	"2099-12-31"	"dlwrfsfc"	"GFDL_nhd_10847960_19800101.20991231_dlwrfsfc.RData"
"nhd_10847960"	"1980-01-01"	"2099-12-31"	"dswrfsfc"	"GFDL_nhd_10847960_19800101.20991231_dswrfsfc.RData"
"nhd_10847960"	"1980-01-01"	"2099-12-31"	"precip"	"GFDL_nhd_10847960_19800101.20991231_precip.RData"
"nhd_10847960"	"1980-01-01"	"2099-12-31"	"relhumperc"	"GFDL_nhd_10847960_19800101.20991231_relhumperc.RData"
"nhd_10847960"	"1980-01-01"	"2099-12-31"	"snow"	"GFDL_nhd_10847960_19800101.20991231_snow.RData"
"nhd_10847960"	"1980-01-01"	"2099-12-31"	"windspeed"	"GFDL_nhd_10847960_19800101.20991231_windspeed.RData"
"nhd_10848066"	"1980-01-01"	"2099-12-31"	"airtemp"	"GFDL_nhd_10848066_19800101.20991231_airtemp.RData"
"nhd_10848066"	"1980-01-01"	"2099-12-31"	"dlwrfsfc"	"GFDL_nhd_10848066_19800101.20991231_dlwrfsfc.RData"
"nhd_10848066"	"1980-01-01"	"2099-12-31"	"dswrfsfc"	"GFDL_nhd_10848066_19800101.20991231_dswrfsfc.RData"
"nhd_10848066"	"1980-01-01"	"2099-12-31"	"precip"	"GFDL_nhd_10848066_19800101.20991231_precip.RData"
