"id"	"source"	"type"	"zmax"
"nhd_4840208"	"mn_lakelist"	"maxdepth"	12.8016
"nhd_4852105"	"mn_lakelist"	"maxdepth"	11.8872
"nhd_4852119"	"mn_lakelist"	"maxdepth"	NA
"nhd_4852147"	"mn_lakelist"	"maxdepth"	11.2776
"nhd_4852141"	"mn_lakelist"	"maxdepth"	4.572
"nhd_4839986"	"mn_lakelist"	"maxdepth"	NA
"nhd_4840006"	"mn_lakelist"	"maxdepth"	5.4864
"nhd_4839434"	"mn_lakelist"	"maxdepth"	NA
"nhd_4839442"	"mn_lakelist"	"maxdepth"	25.6032
"nhd_4839498"	"mn_lakelist"	"maxdepth"	NA
"nhd_4839482"	"mn_lakelist"	"maxdepth"	NA
"nhd_4839512"	"mn_lakelist"	"maxdepth"	NA
"nhd_4855907"	"mn_lakelist"	"maxdepth"	NA
"nhd_4856029"	"mn_lakelist"	"maxdepth"	NA
"nhd_4855693"	"mn_lakelist"	"maxdepth"	5.1816
"nhd_4855627"	"mn_lakelist"	"maxdepth"	9.4488
"nhd_4855625"	"mn_lakelist"	"maxdepth"	8.8392
"nhd_4852501"	"mn_lakelist"	"maxdepth"	7.0104
"nhd_4855735"	"mn_lakelist"	"maxdepth"	NA
"nhd_4855723"	"mn_lakelist"	"maxdepth"	12.192
"nhd_4855777"	"mn_lakelist"	"maxdepth"	NA
"nhd_4855839"	"mn_lakelist"	"maxdepth"	9.7536
"nhd_4855807"	"mn_lakelist"	"maxdepth"	7.62
"nhd_4855785"	"mn_lakelist"	"maxdepth"	NA
"nhd_4855927"	"mn_lakelist"	"maxdepth"	18.288
"nhd_4855893"	"mn_lakelist"	"maxdepth"	8.5344
"nhd_4855951"	"mn_lakelist"	"maxdepth"	NA
"nhd_4856033"	"mn_lakelist"	"maxdepth"	NA
"nhd_120053245"	"mn_lakelist"	"maxdepth"	11.2776
"nhd_4852413"	"mn_lakelist"	"maxdepth"	NA
"nhd_4852377"	"mn_lakelist"	"maxdepth"	NA
"nhd_4852425"	"mn_lakelist"	"maxdepth"	12.8016
"nhd_4852455"	"mn_lakelist"	"maxdepth"	NA
"nhd_4851939"	"mn_lakelist"	"maxdepth"	NA
"nhd_4851935"	"mn_lakelist"	"maxdepth"	NA
"nhd_4851965"	"mn_lakelist"	"maxdepth"	11.5824
"nhd_4851981"	"mn_lakelist"	"maxdepth"	17.9832
"nhd_4839912"	"mn_lakelist"	"maxdepth"	NA
"nhd_4839614"	"mn_lakelist"	"maxdepth"	NA
"nhd_4839728"	"mn_lakelist"	"maxdepth"	NA
"nhd_4835232"	"mn_lakelist"	"maxdepth"	4.2672
"nhd_120053286"	"mn_lakelist"	"maxdepth"	14.6304
"nhd_4835262"	"mn_lakelist"	"maxdepth"	NA
"nhd_4835276"	"mn_lakelist"	"maxdepth"	13.716
