"id","source","type","zmax"
"nhd_9036165","swimms","maxdepth",6.4008
"nhd_9026565","swimms","maxdepth",10.668
"nhd_13391709","swimms","maxdepth",6.4008
"nhd_13391823","swimms","maxdepth",3.6576
"nhd_2266859","swimms","maxdepth",2.7432
"nhd_13394069","swimms","maxdepth",2.7432
"nhd_2266389","swimms","maxdepth",1.8288
"nhd_2264233","swimms","maxdepth",6.4008
"nhd_9032271","swimms","maxdepth",3.6576
"nhd_2266319","swimms","maxdepth",1.2192
"nhd_14701866","swimms","maxdepth",2.7432
"nhd_13634405","swimms","maxdepth",1.8288
"nhd_6810856","swimms","maxdepth",18.8976
"nhd_13343982","swimms","maxdepth",7.62
"nhd_13634349","swimms","maxdepth",7.62
"nhd_13121374","swimms","maxdepth",0.9144
"nhd_NA","swimms","maxdepth",14.9352
"nhd_NA","swimms","maxdepth",5.7912
"nhd_13343662","swimms","maxdepth",7.62
"nhd_2646368","swimms","maxdepth",11.2776
"nhd_NA","swimms","maxdepth",13.716
"nhd_NA","swimms","maxdepth",5.7912
"nhd_1850087","swimms","maxdepth",2.1336
"nhd_NA","swimms","maxdepth",1.8288
"nhd_13119530","swimms","maxdepth",6.4008
"nhd_NA","swimms","maxdepth",1.524
"nhd_NA","swimms","maxdepth",NA
"nhd_2647014","swimms","maxdepth",1.2192
"nhd_1797361","swimms","maxdepth",2.1336
"nhd_13290742","swimms","maxdepth",10.3632
"nhd_13121004","swimms","maxdepth",3.6576
"nhd_NA","swimms","maxdepth",0.6096
"nhd_2260967","swimms","maxdepth",2.1336
"nhd_6842847","swimms","maxdepth",5.7912
"nhd_6808306","swimms","maxdepth",6.096
"nhd_NA","swimms","maxdepth",0.3048
"nhd_NA","swimms","maxdepth",2.1336
"nhd_NA","swimms","maxdepth",4.8768
"nhd_NA","swimms","maxdepth",7.0104
"nhd_NA","swimms","maxdepth",14.3256
"nhd_NA","swimms","maxdepth",1.8288
"nhd_2636312","swimms","maxdepth",0.3048
"nhd_NA","swimms","maxdepth",3.6576
"nhd_NA","swimms","maxdepth",3.048
"nhd_13081129","swimms","maxdepth",3.048
"nhd_2266081","swimms","maxdepth",6.4008
"nhd_2116166","swimms","maxdepth",NA
"nhd_12162828","swimms","maxdepth",1.524
"nhd_2266673","swimms","maxdepth",4.8768
"nhd_NA","swimms","maxdepth",2.4384
"nhd_NA","swimms","maxdepth",1.8288
"nhd_14767684","swimms","maxdepth",7.0104
"nhd_12980479","swimms","maxdepth",10.0584
"nhd_1816531","swimms","maxdepth",9.7536
"nhd_12987617","swimms","maxdepth",6.096
"nhd_9032359","swimms","maxdepth",1.8288
"nhd_6810936","swimms","maxdepth",7.3152
"nhd_6819874","swimms","maxdepth",19.812
"nhd_NA","swimms","maxdepth",12.192
"nhd_12991361","swimms","maxdepth",12.4968
"nhd_13399079","swimms","maxdepth",4.8768
"nhd_13395501","swimms","maxdepth",5.4864
"nhd_6808552","swimms","maxdepth",7.62
"nhd_NA","swimms","maxdepth",5.7912
"nhd_13345290","swimms","maxdepth",10.668
"nhd_12991473","swimms","maxdepth",13.716
"nhd_12991565","swimms","maxdepth",9.144
"nhd_13349370","swimms","maxdepth",14.0208
"nhd_1852779","swimms","maxdepth",9.4488
"nhd_2266111","swimms","maxdepth",2.4384
"nhd_1851811","swimms","maxdepth",10.668
"nhd_2262673","swimms","maxdepth",3.6576
"nhd_1849651","swimms","maxdepth",7.9248
"nhd_2260731","swimms","maxdepth",4.8768
"nhd_1852643","swimms","maxdepth",10.668
"nhd_6842607","swimms","maxdepth",12.8016
"nhd_13081355","swimms","maxdepth",4.2672
"nhd_13121478","swimms","maxdepth",5.4864
"nhd_13078835","swimms","maxdepth",11.8872
"nhd_13078909","swimms","maxdepth",6.4008
"nhd_13078553","swimms","maxdepth",20.1168
"nhd_1849433","swimms","maxdepth",9.4488
"nhd_1797521","swimms","maxdepth",5.4864
"nhd_6842489","swimms","maxdepth",NA
"nhd_2260879","swimms","maxdepth",2.7432
"nhd_2643784","swimms","maxdepth",13.716
"nhd_1816673","swimms","maxdepth",12.192
"nhd_1813573","swimms","maxdepth",3.6576
"nhd_13296416","swimms","maxdepth",3.048
"nhd_6864437","swimms","maxdepth",8.5344
"nhd_1813407","swimms","maxdepth",4.572
"nhd_6842347","swimms","maxdepth",20.7264
"nhd_14445882","swimms","maxdepth",6.096
"nhd_13393673","swimms","maxdepth",4.572
"nhd_2266645","swimms","maxdepth",5.4864
"nhd_13081105","swimms","maxdepth",8.2296
"nhd_9036051","swimms","maxdepth",10.668
"nhd_NA","swimms","maxdepth",2.4384
"nhd_2644024","swimms","maxdepth",7.9248
"nhd_6807802","swimms","maxdepth",7.62
"nhd_6808210","swimms","maxdepth",12.192
"nhd_6808374","swimms","maxdepth",3.3528
"nhd_NA","swimms","maxdepth",3.9624
"nhd_13395491","swimms","maxdepth",3.6576
"nhd_13399231","swimms","maxdepth",12.192
"nhd_13395157","swimms","maxdepth",6.4008
"nhd_13394399","swimms","maxdepth",3.3528
"nhd_13394205","swimms","maxdepth",9.4488
"nhd_14704046","swimms","maxdepth",5.7912
"nhd_13124178","swimms","maxdepth",7.62
"nhd_13084001","swimms","maxdepth",5.7912
"nhd_13123942","swimms","maxdepth",7.62
"nhd_1816151","swimms","maxdepth",13.1064
"nhd_13394781","swimms","maxdepth",5.7912
"nhd_2266031","swimms","maxdepth",1.8288
"nhd_2647860","swimms","maxdepth",10.0584
"nhd_NA","swimms","maxdepth",3.048
"nhd_2646598","swimms","maxdepth",NA
"nhd_2267437","swimms","maxdepth",5.7912
"nhd_2266767","swimms","maxdepth",10.3632
"nhd_2266423","swimms","maxdepth",8.2296
"nhd_2266407","swimms","maxdepth",7.3152
"nhd_NA","swimms","maxdepth",8.2296
"nhd_6842487","swimms","maxdepth",4.8768
"nhd_13394777","swimms","maxdepth",6.096
"nhd_13352180","swimms","maxdepth",8.2296
"nhd_13103927","swimms","maxdepth",11.8872
"nhd_NA","swimms","maxdepth",9.4488
"nhd_NA","swimms","maxdepth",7.9248
"nhd_9026727","swimms","maxdepth",15.5448
"nhd_NA","swimms","maxdepth",5.4864
"nhd_9026731","swimms","maxdepth",10.668
"nhd_NA","swimms","maxdepth",NA
"nhd_1816137","swimms","maxdepth",4.572
"nhd_2646856","swimms","maxdepth",3.048
"nhd_6842509","swimms","maxdepth",7.0104
"nhd_NA","swimms","maxdepth",1.524
"nhd_6792337","swimms","maxdepth",13.4112
"nhd_13135119","swimms","maxdepth",2.1336
"nhd_12004517","swimms","maxdepth",4.572
"nhd_NA","swimms","maxdepth",1.524
