IHDID_1,MaxDepth_f,Long_Cent,Lat_Cent,Comb_Name,Prmnn_I,AreSqKm,state,area,state_id,Distance
123396407,16,-88.99702851430,46.27498045170,Englesby Lake,11947877,0.159000000000000,Michigan,0.158796173702314,26,0.00000000
123395631,22,-89.10947815390,46.32057765530,Buck Lake,11949533,0.077000000000000,Michigan,0.077250177643644,26,0.00000000
123395657,17,-89.07724255940,46.31746673640,Little Castle Lake,11949551,0.123000000000000,Michigan,0.122619902337146,26,0.00141100
123395660,51,-89.07452014230,46.31533231930,Castle Lake,11949551,0.123000000000000,Michigan,0.122619902337146,26,0.00000000
123395765,13,-89.10544794010,46.31042666340,Perch Lake,11949567,0.332000000000000,Michigan,0.331056236686789,26,0.00000000
123397651,38,-89.41802198290,46.23625755180,Big African Lake,11949795,14.813000000000000,Michigan,14.775488540725200,26,0.00114548
123397651,22,-89.41802198290,46.23625755180,Big African Lake,11949795,14.813000000000000,Michigan,14.775488540725200,26,0.00114548
123397504,31,-89.51183581810,46.24630425880,Bergner Lake,11949831,0.170000000000000,Michigan,0.169557770876019,26,0.00000000
123397412,66,-89.46370888260,46.24737144160,Grace Lake,11949833,0.177000000000000,Michigan,0.177005416709413,26,0.00000000
123397532,46,-89.49522694980,46.24237014220,Bay Lake,11949843,0.682000000000000,Michigan,0.680279678140440,26,0.00000000
123397259,52,-89.35683023600,46.24831561720,Snap Jack Lake,11949845,0.202000000000000,Michigan,0.201031406049115,26,0.00000000
123397574,36,-89.47037860230,46.24281695550,McCullough Lake,11949849,0.056000000000000,Michigan,0.055576426945441,26,0.00187458
123397499,66,-89.47053387190,46.24580311180,Big Mosquito Lake,11949849,0.056000000000000,Michigan,0.055576426945441,26,0.00000000
123397174,59,-89.28411332890,46.23223181980,Crooked Lake,11949855,2.479000000000000,Michigan,2.472524511327610,26,0.00195069
123397276,47,-89.34159457650,46.24498865600,Helen Lake,11949857,0.274000000000000,Michigan,0.273483369070361,26,0.00000000
123397563,76,-89.48068594730,46.24004736590,Emeline Lake,11949875,0.494000000000000,Michigan,0.493198121679596,26,0.00000000
123396833,40,-89.04267223170,46.24675261220,Taylor Lake,11949885,0.431000000000000,Michigan,0.429469500046572,26,0.00031777
123397423,60,-89.36965565890,46.24094268870,Long Lake,11949893,0.697000000000000,Michigan,0.695660197433750,26,0.00000000
123397714,35,-89.46357530830,46.23120846440,Dumbell Lake,11949909,0.094000000000000,Michigan,0.094214109262852,26,0.00652198
123397287,21,-89.26309823140,46.24238510290,West Bear Lake,11949911,0.255000000000000,Michigan,0.254633230545043,26,0.00000000
123397282,25,-89.25154094550,46.24202767370,East Bear Lake,11949917,0.160000000000000,Michigan,0.159995912411264,26,0.00000000
123397037,45,-89.11970567350,46.24346936650,Powwow Lake,11949921,0.216000000000000,Michigan,0.215118591875532,26,0.00003334
123397479,74,-89.32001418940,46.22553949220,Clark Lake,11949925,3.455000000000000,Michigan,3.446543564287780,26,0.00000000
123397426,56,-89.31198581480,46.23951290390,Katherine Lake,11949927,0.155000000000000,Michigan,0.154129503258223,26,0.00000000
123397557,41,-89.28169330660,46.23434921220,Jay Lake,11949939,0.261000000000000,Michigan,0.260518322909501,26,0.00306709
123397384,89,-89.27730955160,46.23842873290,High Lake,11949939,0.261000000000000,Michigan,0.260518322909501,26,0.00009027
123397324,30,-89.27573191460,46.24349266160,Kerr Lake,11949939,0.261000000000000,Michigan,0.260518322909501,26,0.00249796
123397062,58,-89.10025519210,46.24269995730,Sun Lake,11949945,0.131000000000000,Michigan,0.130225317741292,26,0.00000000
123397524,60,-89.25992365670,46.23161443600,Mountain Lake,11949977,0.426000000000000,Michigan,0.424534934232520,26,0.00000000
123397591,33,-89.26496429570,46.23162713110,Liluis Lake,11949977,0.426000000000000,Michigan,0.424534934232520,26,0.00108197
123397602,33,-89.29733391110,46.23180600550,Corey Lake,11949987,0.090000000000000,Michigan,0.089305408691278,26,0.00000000
123397784,17,-89.44967597040,46.22198505350,Gray Lake,11950015,0.187000000000000,Michigan,0.186246279234088,26,0.00000000
123397569,42,-89.17117485370,46.22460937220,Allen Lake,11950027,0.310000000000000,Michigan,0.309235965464363,26,0.00000000
123397860,17,-89.47472441600,46.21784876670,Brown Lake,11950037,0.286000000000000,Michigan,0.285529637943789,26,0.00000000
123397648,25,-89.21884028600,46.20520299030,Duck Lake,11950039,2.467000000000000,Michigan,2.461246067121270,26,0.00000000
123397905,62,-89.46027360150,46.21300457650,Dutch Lake,11950059,0.075000000000000,Michigan,0.075039965490625,26,0.00000000
123397739,46,-89.24240443360,46.21527425560,Devils Head Lake,11950065,0.381000000000000,Michigan,0.380339459286199,26,0.00000000
123397837,34,-89.33124990420,46.21411810060,Hay Lake,11950071,0.048000000000000,Michigan,0.048020974805943,26,0.00000000
123397919,54,-89.34886391340,46.20640475820,Whitefish Lake,11950081,1.985000000000000,Michigan,1.980095146546400,26,0.00000000
123397692,46,-89.14384649510,46.21511097190,Anderson Lake,11950083,0.327000000000000,Michigan,0.325974869459525,26,0.00000000
123397787,55,-89.25574988860,46.21356075640,Trapper Lake,11950091,0.054000000000000,Michigan,0.053791563347961,26,0.00000000
123397809,16,-89.26546835020,46.21318996290,Germain Lake,11950093,0.060000000000000,Michigan,0.060073988383732,26,0.00000000
123397826,62,-89.15828004250,46.20658250770,Wilson Lake,11950121,0.124000000000000,Michigan,0.123425760036236,26,0.00000000
123397854,26,-89.13500121990,46.19968282850,Dinner Lake,11950145,0.436000000000000,Michigan,0.434526278422824,26,0.00000000
