"id","source","type"
"nhd_167201784","bathybase","bathymetry"
"nhd_1792897","bathybase","bathymetry"
"nhd_1791829","bathybase","bathymetry"
"nhd_1768996","bathybase","bathymetry"
"nhd_1769036","bathybase","bathymetry"
"nhd_1770992","bathybase","bathymetry"
"nhd_1768784","bathybase","bathymetry"
"nhd_7101115","bathybase","bathymetry"
"nhd_7137600","bathybase","bathymetry"
"nhd_120052238","bathybase","bathymetry"
"nhd_1769208","bathybase","bathymetry"
"nhd_1768822","bathybase","bathymetry"
"nhd_1768408","bathybase","bathymetry"
"nhd_1766204","bathybase","bathymetry"
"nhd_1766186","bathybase","bathymetry"
"nhd_7152976","bathybase","bathymetry"
"nhd_7153320","bathybase","bathymetry"
"nhd_120052233","bathybase","bathymetry"
"nhd_1769334","bathybase","bathymetry"
"nhd_120053274","bathybase","bathymetry"
"nhd_7138638","bathybase","bathymetry"
"nhd_120052243","bathybase","bathymetry"
"nhd_120052243","bathybase","bathymetry"
"nhd_7138116","bathybase","bathymetry"
"nhd_7168196","bathybase","bathymetry"
"nhd_7153122","bathybase","bathymetry"
"nhd_7153150","bathybase","bathymetry"
"nhd_7173488","bathybase","bathymetry"
"nhd_7173330","bathybase","bathymetry"
"nhd_7137474","bathybase","bathymetry"
"nhd_120052240","bathybase","bathymetry"
"nhd_7151004","bathybase","bathymetry"
"nhd_7151014","bathybase","bathymetry"
"nhd_7138266","bathybase","bathymetry"
"nhd_7154030","bathybase","bathymetry"
"nhd_4838796","bathybase","bathymetry"
"nhd_7153992","bathybase","bathymetry"
"nhd_7152618","bathybase","bathymetry"
"nhd_7150968","bathybase","bathymetry"
"nhd_7107659","bathybase","bathymetry"
"nhd_2385476","bathybase","bathymetry"
"nhd_2385696","bathybase","bathymetry"
"nhd_2385680","bathybase","bathymetry"
"nhd_2385496","bathybase","bathymetry"
"nhd_2385472","bathybase","bathymetry"
"nhd_2385648","bathybase","bathymetry"
"nhd_2385444","bathybase","bathymetry"
"nhd_2385358","bathybase","bathymetry"
"nhd_2385742","bathybase","bathymetry"
"nhd_2385346","bathybase","bathymetry"
"nhd_2385724","bathybase","bathymetry"
"nhd_2385542","bathybase","bathymetry"
"nhd_2385658","bathybase","bathymetry"
"nhd_2385706","bathybase","bathymetry"
"nhd_2721707","bathybase","bathymetry"
"nhd_2365412","bathybase","bathymetry"
"nhd_2721639","bathybase","bathymetry"
"nhd_2721831","bathybase","bathymetry"
"nhd_2721755","bathybase","bathymetry"
"nhd_2721881","bathybase","bathymetry"
"nhd_2721881","bathybase","bathymetry"
"nhd_2721669","bathybase","bathymetry"
"nhd_2719383","bathybase","bathymetry"
"nhd_120052041","bathybase","bathymetry"
"nhd_120052041","bathybase","bathymetry"
"nhd_2723527","bathybase","bathymetry"
"nhd_2723539","bathybase","bathymetry"
"nhd_2723539","bathybase","bathymetry"
"nhd_2723465","bathybase","bathymetry"
"nhd_2723769","bathybase","bathymetry"
"nhd_4981368","bathybase","bathymetry"
"nhd_4981268","bathybase","bathymetry"
"nhd_4981310","bathybase","bathymetry"
"nhd_4981134","bathybase","bathymetry"
"nhd_4981198","bathybase","bathymetry"
"nhd_4981294","bathybase","bathymetry"
"nhd_4981172","bathybase","bathymetry"
"nhd_4981172","bathybase","bathymetry"
"nhd_4981172","bathybase","bathymetry"
"nhd_4981172","bathybase","bathymetry"
"nhd_4981172","bathybase","bathymetry"
"nhd_4981172","bathybase","bathymetry"
"nhd_4972121","bathybase","bathymetry"
"nhd_4972101","bathybase","bathymetry"
"nhd_4972175","bathybase","bathymetry"
"nhd_4972183","bathybase","bathymetry"
"nhd_4971933","bathybase","bathymetry"
"nhd_4972009","bathybase","bathymetry"
"nhd_4972047","bathybase","bathymetry"
"nhd_4981172","bathybase","bathymetry"
"nhd_4981172","bathybase","bathymetry"
"nhd_4981172","bathybase","bathymetry"
"nhd_4971937","bathybase","bathymetry"
"nhd_4981290","bathybase","bathymetry"
"nhd_4981330","bathybase","bathymetry"
"nhd_4981350","bathybase","bathymetry"
"nhd_4981172","bathybase","bathymetry"
"nhd_4981172","bathybase","bathymetry"
"nhd_4981210","bathybase","bathymetry"
"nhd_4251354","bathybase","bathymetry"
"nhd_4978918","bathybase","bathymetry"
"nhd_4251408","bathybase","bathymetry"
"nhd_4978882","bathybase","bathymetry"
"nhd_4978798","bathybase","bathymetry"
"nhd_4978790","bathybase","bathymetry"
"nhd_4978810","bathybase","bathymetry"
"nhd_2034063","bathybase","bathymetry"
"nhd_4413704","bathybase","bathymetry"
"nhd_4413566","bathybase","bathymetry"
"nhd_4103107","bathybase","bathymetry"
"nhd_4415522","bathybase","bathymetry"
"nhd_4415322","bathybase","bathymetry"
"nhd_4104187","bathybase","bathymetry"
"nhd_4104177","bathybase","bathymetry"
"nhd_4971701","bathybase","bathymetry"
"nhd_4859287","bathybase","bathymetry"
"nhd_4978572","bathybase","bathymetry"
"nhd_4859143","bathybase","bathymetry"
"nhd_4859169","bathybase","bathymetry"
"nhd_4859163","bathybase","bathymetry"
"nhd_4859209","bathybase","bathymetry"
"nhd_4859099","bathybase","bathymetry"
"nhd_4858265","bathybase","bathymetry"
"nhd_4963317","bathybase","bathymetry"
"nhd_4858077","bathybase","bathymetry"
"nhd_4858145","bathybase","bathymetry"
"nhd_4978640","bathybase","bathymetry"
"nhd_4963209","bathybase","bathymetry"
"nhd_4978570","bathybase","bathymetry"
"nhd_4978592","bathybase","bathymetry"
"nhd_4965327","bathybase","bathymetry"
"nhd_4963059","bathybase","bathymetry"
"nhd_4978632","bathybase","bathymetry"
"nhd_4978518","bathybase","bathymetry"
"nhd_4978512","bathybase","bathymetry"
"nhd_4978510","bathybase","bathymetry"
"nhd_4980402","bathybase","bathymetry"
"nhd_4980330","bathybase","bathymetry"
"nhd_4978564","bathybase","bathymetry"
"nhd_4978620","bathybase","bathymetry"
"nhd_4944293","bathybase","bathymetry"
"nhd_4944385","bathybase","bathymetry"
"nhd_2032351","bathybase","bathymetry"
"nhd_2032357","bathybase","bathymetry"
"nhd_10595614","bathybase","bathymetry"
"nhd_2647936","bathybase","bathymetry"
"nhd_2647560","bathybase","bathymetry"
"nhd_2647532","bathybase","bathymetry"
"nhd_2647572","bathybase","bathymetry"
"nhd_2647582","bathybase","bathymetry"
"nhd_2647628","bathybase","bathymetry"
"nhd_2647112","bathybase","bathymetry"
"nhd_2647176","bathybase","bathymetry"
"nhd_2647236","bathybase","bathymetry"
"nhd_1100974","bathybase","bathymetry"
"nhd_2651398","bathybase","bathymetry"
"nhd_2648038","bathybase","bathymetry"
"nhd_2648038","bathybase","bathymetry"
"nhd_2648074","bathybase","bathymetry"
"nhd_2651310","bathybase","bathymetry"
"nhd_1100962","bathybase","bathymetry"
"nhd_2647656","bathybase","bathymetry"
"nhd_2647106","bathybase","bathymetry"
"nhd_2647234","bathybase","bathymetry"
"nhd_167120570","bathybase","bathymetry"
"nhd_1101008","bathybase","bathymetry"
"nhd_1097324","bathybase","bathymetry"
"nhd_2116316","bathybase","bathymetry"
"nhd_4250476","bathybase","bathymetry"
"nhd_4250446","bathybase","bathymetry"
"nhd_4250466","bathybase","bathymetry"
"nhd_4250418","bathybase","bathymetry"
"nhd_4250500","bathybase","bathymetry"
"nhd_4250540","bathybase","bathymetry"
"nhd_4250290","bathybase","bathymetry"
"nhd_4250322","bathybase","bathymetry"
"nhd_2722015","bathybase","bathymetry"
"nhd_4250428","bathybase","bathymetry"
