"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","Permnn_I","id"
"MI001-414706085501001",41.7850494,-85.8361076,NA,NA
"MI001-414707085510301",41.7853271,-85.8508304,NA,NA
"MI001-414708085565901",41.7856044,-85.9497233,NA,NA
"MI001-414709085520301",41.7858826,-85.8674978,NA,NA
"MI001-414714085505301",41.7872715,-85.8480526,NA,NA
"MI001-414714085521201",41.7872714,-85.8699979,NA,NA
"MI001-414717085554901",41.7881045,-85.9302781,NA,NA
"MI001-414718085571801",41.7883821,-85.9550014,NA,NA
"MI001-414720085563701",41.7889377,-85.943612,NA,NA
"MI001-414729085571801",41.7914376,-85.9550014,NA,NA
"MI001-414737085503001",41.7936603,-85.8416636,NA,NA
"USGS-04101400",41.7744921,-86.2672308,NA,NA
"USGS-04000800",47.8446166,-89.1809241,NA,NA
"USGS-04000900",47.8951695,-89.1689769,NA,"4795126"
"USGS-04000950",47.9279455,-89.1311969,NA,NA
"USGS-04000970",47.9246124,-89.1373083,NA,NA
"USGS-04001000",47.9212792,-89.1459197,NA,NA
"USGS-04001500",47.9851625,-88.8025788,NA,NA
"USGS-04001700",47.9337778,-88.9575833,NA,NA
"USGS-04002000",47.8915583,-89.0173085,NA,"4795128"
"USGS-04027940",46.3477259,-90.1218382,NA,NA
"USGS-04028090",46.4916141,-90.1732309,NA,NA
"USGS-04028092",46.4918919,-90.175731,NA,NA
"USGS-04028100",46.5071696,-90.2298989,NA,NA
"USGS-04028105",46.5007807,-90.1251745,NA,NA
"USGS-04028110",46.5130028,-90.1562863,NA,NA
"USGS-04029550",46.5132806,-90.2726775,NA,NA
"USGS-04029950",46.5699465,-90.1765644,NA,NA
"USGS-04030500",46.4738364,-90.0018379,NA,NA
"USGS-04030502",46.4705031,-89.9823925,NA,NA
"USGS-04030520",46.4666143,-89.9446131,NA,NA
"USGS-04030525",46.4799475,-89.9751703,NA,NA
"USGS-04030810",46.4513367,-89.8662762,NA,NA
"USGS-04030955",46.5155031,-89.881278,NA,NA
"USGS-04030957",46.537725,-89.9215575,NA,NA
"USGS-04030960",46.4988364,-89.9276688,NA,NA
"USGS-04030965",46.4871696,-90.0521171,NA,NA
"USGS-04030967",46.4891141,-90.0498949,NA,NA
"USGS-04030975",46.466892,-90.069617,NA,NA
"USGS-04030980",46.4810586,-90.0793398,NA,NA
"USGS-04030998",46.5107806,-90.0729512,NA,NA
"USGS-04031000",46.5113361,-90.0746179,NA,NA
"USGS-04031030",46.6580014,-90.0440619,NA,NA
"USGS-04031500",46.3721704,-89.6923791,NA,NA
"USGS-04031650",46.4563367,-89.6896027,NA,NA
"USGS-04031950",46.4049482,-89.7793274,NA,NA
"USGS-04032000",46.5472222,-89.7772222,NA,NA
"USGS-04032010",46.5577255,-89.7732178,NA,"11947063"
"USGS-04032100",46.6227248,-89.8618328,NA,NA
"USGS-04032110",46.6457801,-89.8832226,NA,NA
"USGS-04032150",46.696057,-89.97406,NA,NA
"USGS-04032180",46.7199469,-89.8248867,NA,NA
"USGS-04032184",46.7230024,-89.8307203,NA,NA
"USGS-04032450",46.8257787,-89.5870966,NA,NA
"USGS-04032500",46.7735578,-89.5820981,NA,NA
"USGS-04032505",46.8149456,-89.5695963,NA,NA
"USGS-04032510",46.7332806,-89.5629315,NA,NA
"USGS-04032511",46.7405028,-89.574043,NA,NA
"USGS-04032515",46.762447,-89.5737649,NA,NA
"USGS-040325155",46.8316119,-89.5465393,NA,NA
"USGS-04032520",46.8427214,-89.4201456,NA,NA
"USGS-04032525",46.7596661,-89.3693129,NA,NA
"USGS-04032530",46.7538329,-89.3709798,NA,NA
"USGS-04032533",46.8529984,-89.387922,NA,NA
"USGS-04032700",46.2771703,-89.3093097,NA,NA
"USGS-04032800",46.2852257,-89.2901425,NA,NA
"USGS-04032850",46.2832813,-89.2651418,NA,NA
"USGS-04032900",46.2749485,-89.1776402,NA,NA
"USGS-04032919",46.291615,-89.1543067,NA,NA
"USGS-04033000",46.3568916,-89.0765285,NA,NA
"USGS-04033100",46.3630028,-89.0162499,NA,NA
"USGS-04033500",46.3991128,-89.14653,NA,NA
"USGS-04034000",46.4080015,-89.1284743,NA,NA
"USGS-04034100",46.4074459,-89.1290298,NA,NA
"USGS-04034500",46.4777221,-89.090419,NA,NA
"USGS-04034550",46.4843884,-88.9993067,NA,NA
"USGS-04034690",46.5335548,-89.2051429,NA,NA
"USGS-04034700",46.5352213,-89.1818092,NA,NA
"USGS-04034780",46.4707771,-88.7995829,NA,NA
"USGS-04034820",46.485777,-88.8895838,NA,NA
"USGS-04034830",46.5054988,-88.948751,NA,NA
"USGS-04034900",46.7460496,-89.06375,NA,NA
"USGS-04035000",46.6877176,-89.0731952,NA,NA
"USGS-04035500",46.6991073,-89.160141,NA,NA
"USGS-04035990",46.5677252,-89.6496018,NA,NA
"USGS-04035995",46.5885582,-89.547931,NA,"166766588"
"USGS-04036000",46.5874471,-89.5418197,NA,"166766588"
"USGS-04036050",46.6313361,-89.5526535,NA,NA
"USGS-04037400",46.2527262,-89.4520913,NA,NA
"USGS-04037500",46.2532818,-89.4515357,NA,NA
"USGS-04038000",46.3021702,-89.4165353,NA,NA
"USGS-04039450",46.4185568,-89.2404205,NA,NA
"USGS-04039500",46.5347222,-89.2763889,NA,NA
"USGS-04039510",46.5443887,-89.2929226,NA,NA
"USGS-04039800",46.6868861,-89.2301422,NA,"11946161"
"USGS-04039900",46.6866083,-89.2298645,NA,"11946161"
"USGS-04040000",46.7207742,-89.207086,NA,NA
"USGS-04040018",46.8674415,-89.317086,NA,NA
"USGS-04040020",46.8724416,-89.3218082,NA,NA
"USGS-04040100",46.8660506,-89.1962496,NA,NA
"USGS-04040110",46.7913262,-89.0279152,NA,NA
"USGS-04040115",46.7979926,-89.017637,NA,NA
"USGS-04040120",46.9224387,-89.1770813,NA,NA
"USGS-04040150",46.8613235,-88.9193013,NA,NA
"USGS-04040152",46.8585457,-88.9145791,NA,NA
"USGS-04040154",46.8577124,-88.9179125,NA,NA
"USGS-04040156",46.8591014,-88.923468,NA,NA
"USGS-04040175",46.9896559,-88.9829102,NA,NA
"USGS-04040200",47.1524266,-88.7681804,NA,NA
"USGS-04040205",47.2393699,-88.5828977,NA,NA
"USGS-04040208",47.2399255,-88.5740087,NA,NA
"USGS-04040209",47.2432588,-88.5778975,NA,NA
"USGS-04040211",47.2432588,-88.5651196,NA,NA
"USGS-04040216",47.281035,-88.446504,NA,NA
"USGS-04040240",47.3129777,-88.426224,NA,NA
"USGS-04040260",47.3226993,-88.4053895,NA,NA
"USGS-04040270",47.3996394,-88.333162,NA,NA
"USGS-04040280",47.4138051,-88.2981606,NA,NA
"USGS-04040300",47.4671269,-87.8664978,NA,NA
"USGS-04040304",47.4213,-88.0762171,NA,NA
"USGS-04040310",47.3618589,-88.1028853,NA,NA
"USGS-04040313",47.3635238,-88.0406639,NA,NA
"USGS-04040315",47.3676902,-88.037886,NA,NA
"USGS-04040338",47.3482506,-88.178718,NA,NA
"USGS-04040340",47.3357506,-88.1589965,NA,NA
"USGS-04040350",47.2310323,-88.1487224,NA,NA
"USGS-04040420",46.5713253,-88.305968,NA,NA
"USGS-04040450",46.5754924,-88.3404127,NA,NA
"USGS-04040455",46.5979927,-88.4093014,NA,NA
"USGS-04040460",46.6143816,-88.4529124,NA,NA
"USGS-04040465",46.6454921,-88.4829118,NA,NA
"USGS-04040470",46.5729948,-88.4945806,NA,NA
"USGS-04040472",46.5888277,-88.5220803,NA,NA
"USGS-04040496",46.5874391,-88.571803,NA,NA
"USGS-04040498",46.5854947,-88.5726363,NA,NA
"USGS-04040500",46.5841059,-88.5759697,NA,NA
"USGS-04041000",46.5182752,-88.6634715,NA,NA
"USGS-04041100",46.5466078,-88.7304158,NA,NA
"USGS-04041200",46.6593817,-88.7334698,NA,NA
"USGS-04041490",46.6710479,-88.7206917,NA,NA
"USGS-04041500",46.7263235,-88.6620789,NA,NA
"USGS-04041520",46.7474337,-88.6284669,NA,NA
"USGS-04041600",46.7138238,-88.6473567,NA,NA
"USGS-04041610",46.720768,-88.6293007,NA,NA
"USGS-04041650",46.7485448,-88.6279113,NA,NA
"USGS-04042000",46.7849329,-88.6184658,NA,NA
"USGS-04042100",46.7629892,-88.6951343,NA,NA
"USGS-04042198",46.7427124,-88.7612468,NA,NA
"USGS-04042200",46.7649338,-88.7334683,NA,NA
"USGS-04042220",46.7841001,-88.7212454,NA,NA
"USGS-04042300",46.8368763,-88.5904085,NA,NA
"USGS-04042350",46.9168745,-88.5206829,NA,NA
"USGS-04042401",47.0327062,-88.615404,NA,NA
"USGS-04042431",46.9043755,-88.7145759,NA,NA
"USGS-04042435",46.8960422,-88.6790198,NA,NA
"USGS-04042450",46.8588207,-88.677354,NA,NA
"USGS-04042452",46.7785466,-88.8859695,NA,NA
"USGS-04042453",46.7785466,-88.8854139,NA,NA
"USGS-04042455",46.7785464,-88.8706916,NA,NA
"USGS-04042457",46.7988228,-88.793746,NA,NA
"USGS-04042460",46.8271547,-88.6895772,NA,NA
"USGS-04042500",46.8357654,-88.6367982,NA,NA
"USGS-04043000",46.9282634,-88.5565166,NA,NA
"USGS-04043004",46.9743735,-88.5226259,NA,NA
"USGS-04043005",47.0177062,-88.5059577,NA,NA
"USGS-04043015",47.0621502,-88.5965139,NA,NA
"USGS-04043016",47.0840943,-88.5506792,NA,NA
"USGS-04043021",47.1279826,-88.6242903,NA,NA
"USGS-04043025",47.2015926,-88.6145658,NA,NA
"USGS-04043030",47.1290937,-88.4909547,NA,NA
"USGS-04043035",47.1671484,-88.4365076,NA,NA
"USGS-04043042",47.2638134,-88.4023366,NA,NA
"USGS-040430436",47.2824235,-88.3948354,NA,NA
"USGS-04043045",47.278257,-88.3892799,NA,NA
"USGS-04043047",47.2668686,-88.370113,NA,NA
"USGS-04043050",47.2285364,-88.3853928,NA,NA
"USGS-04043052",47.2046478,-88.404561,NA,NA
"USGS-040430526",47.1999256,-88.396783,NA,NA
"USGS-04043053",47.1860368,-88.3937279,NA,NA
"USGS-04043055",46.9979839,-88.4804022,NA,NA
"USGS-04043060",46.8771527,-88.4779054,NA,NA
"USGS-04043063",46.8149316,-88.4826294,NA,NA
"USGS-04043064",46.8185428,-88.4895738,NA,NA
"USGS-04043065",46.8354868,-88.4834622,NA,NA
"USGS-04043066",46.8204871,-88.4815181,NA,NA
"USGS-04043068",46.8240982,-88.4842958,NA,NA
"USGS-04043069",46.7857655,-88.4787412,NA,NA
"USGS-04043070",46.7549329,-88.5059646,NA,"14442156"
"USGS-04043080",46.7465998,-88.5079093,NA,"14442156"
"USGS-04043085",46.7457664,-88.4979092,NA,NA
"USGS-04043090",46.7457663,-88.4895758,NA,NA
"USGS-04043096",46.7071556,-88.3862426,NA,NA
"USGS-04043097",46.7346552,-88.4431868,NA,NA
"USGS-04043098",46.7371551,-88.4448534,NA,NA
"USGS-04043100",46.7515992,-88.452353,NA,NA
"USGS-04043101",46.7540992,-88.4551308,NA,NA
"USGS-04043105",46.7588212,-88.4481861,NA,NA
"USGS-04043120",46.8146532,-88.4104064,NA,NA
"USGS-04043126",46.7210435,-88.3301306,NA,NA
"USGS-04043130",46.7249322,-88.3273527,NA,NA
"USGS-04043131",46.7554872,-88.3554076,NA,NA
"USGS-04043135",46.7121552,-88.3654089,NA,NA
"USGS-04043137",46.7249326,-88.3642974,NA,NA
"USGS-04043138",46.7252104,-88.3687419,NA,NA
"USGS-04043140",46.7510429,-88.3617967,NA,NA
"USGS-04043146",46.781042,-88.3242954,NA,NA
"USGS-04043150",46.804097,-88.3170724,NA,NA
"USGS-04043162",46.809096,-88.2306827,NA,NA
"USGS-04043165",46.8333333,-88.2586111,NA,NA
"USGS-04043182",46.8505556,-88.0644444,NA,NA
"USGS-04043183",46.8516667,-88.0625,NA,NA
"USGS-04043190",46.8063889,-88.0875,NA,NA
"USGS-04043194",46.8136111,-88.0841667,NA,NA
"USGS-04043198",46.8544444,-88.1088889,NA,NA
"USGS-04043200",46.8649259,-88.082626,NA,NA
