"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","Permnn_I","id"
"USGS-424730086115301",42.7916888,-86.1980989,NA,NA
"USGS-424730086115401",42.7916888,-86.1983767,NA,NA
"USGS-424731084450201",42.7919793,-84.7505436,NA,NA
"USGS-424731085541501",42.7919709,-85.9042017,NA,NA
"USGS-424732083345401",42.7922505,-83.5816132,NA,NA
"USGS-424733083134009",42.7925307,-83.2277165,NA,"13183368"
"USGS-424734084453001",42.7928127,-84.7583217,NA,NA
"USGS-424735085582501",42.793081,-85.9736489,NA,NA
"USGS-424735085582701",42.793081,-85.9742045,NA,NA
"USGS-424735086121201",42.7930776,-86.2033768,NA,NA
"USGS-424736085475401",42.7933613,-85.7983642,NA,NA
"USGS-424736085521701",42.7933603,-85.8714227,NA,NA
"USGS-424736085563001",42.7933593,-85.9417032,NA,NA
"USGS-424736085583501",42.7933588,-85.9764268,NA,NA
"USGS-424737083081809",42.7936417,-83.1382691,NA,NA
"USGS-424737085523401",42.793638,-85.876145,NA,NA
"USGS-424737085580701",42.7936367,-85.9686488,NA,NA
"USGS-424737086123901",42.793633,-86.210877,NA,NA
"USGS-424738085520301",42.7939159,-85.8675336,NA,NA
"USGS-424738085592101",42.7939141,-85.9892051,NA,NA
"USGS-424738086003501",42.7939138,-86.0097613,NA,NA
"USGS-424739085552601",42.7941928,-85.9239248,NA,NA
"USGS-424741084394101",42.7947568,-84.6613735,NA,NA
"USGS-424742085583401",42.7950254,-85.9761491,NA,NA
"USGS-424743085515801",42.7953048,-85.8661447,NA,NA
"USGS-424743085522601",42.7953046,-85.8739228,NA,NA
"USGS-424743085582701",42.7953032,-85.9742046,NA,NA
"USGS-424743085583601",42.7953032,-85.9767047,NA,NA
"USGS-424745085510501",42.7958605,-85.8514219,NA,NA
"USGS-424745085544301",42.7958597,-85.9119799,NA,NA
"USGS-424745085592101",42.7958586,-85.9892052,NA,NA
"USGS-424745086000201",42.7958584,-86.0005945,NA,NA
"USGS-424745086121001",42.7958553,-86.2028213,NA,NA
"USGS-424745086123601",42.7958552,-86.2100437,NA,NA
"USGS-424745086123602",42.7958552,-86.2100437,NA,NA
"USGS-424745086123901",42.7958552,-86.210877,NA,NA
"USGS-424746085473001",42.7961391,-85.7916974,NA,NA
"USGS-424746086123701",42.796133,-86.2103215,NA,NA
"USGS-424747083202900",42.7963306,-83.3414028,NA,NA
"USGS-424747083202901",42.7958694,-83.3413,NA,NA
"USGS-424748084333001",42.796701,-84.5583138,NA,NA
"USGS-424748084452301",42.7967015,-84.7563773,NA,NA
"USGS-424748085573201",42.7966923,-85.9589262,NA,NA
"USGS-424748085581801",42.7966921,-85.9717045,NA,NA
"USGS-424748086120301",42.7966887,-86.2008769,NA,NA
"USGS-424749085564701",42.7969703,-85.9464257,NA,NA
"USGS-424750084405501",42.7972569,-84.6819299,NA,NA
"USGS-424751085481401",42.7975278,-85.8039201,NA,NA
"USGS-424751085525601",42.7975267,-85.8822565,NA,NA
"USGS-424751085544501",42.7975263,-85.9125355,NA,NA
"USGS-424752085500001",42.7978052,-85.8333657,NA,NA
"USGS-424752085513901",42.7978048,-85.8608668,NA,NA
"USGS-424752085522201",42.7978046,-85.8728117,NA,NA
"USGS-424752085592201",42.797803,-85.989483,NA,NA
"USGS-424753084233301",42.7980889,-84.3924743,NA,NA
"USGS-424753085521301",42.7980824,-85.8703116,NA,NA
"USGS-424753085561901",42.7980815,-85.9386477,NA,NA
"USGS-424753085581401",42.798081,-85.9705934,NA,NA
"USGS-424754084233501",42.7983667,-84.3930299,NA,NA
"USGS-424754085491401",42.7983609,-85.8205875,NA,NA
"USGS-424754085522201",42.7983602,-85.8728118,NA,NA
"USGS-424754085575901",42.7983589,-85.9664266,NA,NA
"USGS-424754085583401",42.7983587,-85.9761492,NA,NA
"USGS-424755084455001",42.7986459,-84.7638776,NA,NA
"USGS-424756085470201",42.798917,-85.7839193,NA,NA
"USGS-424757084363201",42.7992011,-84.6088715,NA,NA
"USGS-424757086002801",42.7991916,-86.007817,NA,NA
"USGS-424758083123309",42.799475,-83.2091048,NA,"13183354"
"USGS-424758083365709",42.7994727,-83.6157809,NA,NA
"USGS-424758084234302",42.7994778,-84.3952522,NA,NA
"USGS-424758084314701",42.7994786,-84.5297017,NA,NA
"USGS-424759084314001",42.7997564,-84.5277571,NA,NA
"USGS-424800085480501",42.8000278,-85.80142,NA,NA
"USGS-424800085483201",42.8000277,-85.8089204,NA,NA
"USGS-424801084453001",42.8003126,-84.7583219,NA,NA
"USGS-424801084453901",42.8003126,-84.760822,NA,NA
"USGS-424801085480301",42.8003056,-85.8008645,NA,NA
"USGS-424801085593001",42.8003029,-85.9917054,NA,NA
"USGS-424802084454901",42.8005904,-84.7635999,NA,NA
"USGS-424802084461601",42.8005903,-84.7711002,NA,NA
"USGS-424803083203401",42.8008631,-83.3427192,NA,NA
"USGS-424803085472901",42.8008613,-85.7914197,NA,NA
"USGS-424803085592701",42.8008585,-85.990872,NA,NA
"USGS-424804083311301",42.8011394,-83.520223,NA,NA
"USGS-424804083311302",42.8033616,-83.5221675,NA,"13018117"
"USGS-424804083311303",42.8033616,-83.5221675,NA,"13018117"
"USGS-424804083311305",42.8033616,-83.5221675,NA,"13018117"
"USGS-424804083311306",42.8033616,-83.5221675,NA,"13018117"
"USGS-424804083311309",42.8033616,-83.5221675,NA,"13018117"
"USGS-424805084234201",42.8014222,-84.3949745,NA,NA
"USGS-424805085513601",42.8014158,-85.8600336,NA,NA
"USGS-424805085513701",42.8014158,-85.8603113,NA,NA
"USGS-424806083381901",42.8016949,-83.6385594,NA,NA
"USGS-424807084490701",42.8019791,-84.818602,NA,NA
"USGS-424807085592001",42.8019696,-85.9889276,NA,NA
"USGS-424807085592101",42.8019696,-85.9892054,NA,NA
"USGS-424808084455001",42.802257,-84.7638778,NA,NA
"USGS-424808085480401",42.80225,-85.8011424,NA,NA
"USGS-424808085572601",42.8022478,-85.9572597,NA,NA
"USGS-424808085574301",42.8022477,-85.961982,NA,NA
"USGS-424808085581801",42.8022476,-85.9717047,NA,NA
"USGS-424809083303801",42.8025283,-83.5105005,NA,NA
"USGS-424809083381901",42.8025283,-83.6385594,NA,NA
"USGS-424809084455901",42.8025348,-84.7663779,NA,NA
"USGS-424809084491701",42.8025346,-84.8213799,NA,NA
"USGS-424810084543501",42.8028122,-84.9097165,NA,NA
"USGS-424811084341801",42.8030898,-84.5716479,NA,NA
"USGS-424811085522201",42.8030823,-85.8728119,NA,NA
"USGS-424811085544301",42.8030818,-85.9119801,NA,NA
"USGS-424811085552801",42.8030816,-85.9244806,NA,NA
"USGS-424812083312001",42.8033333,-83.5222222,NA,"13018117"
"USGS-424812083312002",42.8033333,-83.5222222,NA,"13018117"
"USGS-424812083312003",42.8033333,-83.5222222,NA,"13018117"
"USGS-424812083312005",42.8033333,-83.5222222,NA,"13018117"
"USGS-424812083312006",42.8033333,-83.5222222,NA,"13018117"
"USGS-424812085520601",42.8033601,-85.8683673,NA,NA
"USGS-424812085521301",42.8033601,-85.8703118,NA,NA
"USGS-424814085480401",42.8039166,-85.8011424,NA,NA
"USGS-424814085584301",42.8039142,-85.9786495,NA,NA
"USGS-424816084462601",42.8044792,-84.7738782,NA,NA
"USGS-424816085484801",42.804472,-85.8133651,NA,NA
"USGS-424816085513901",42.8044713,-85.860867,NA,NA
"USGS-424817083153001",42.8047527,-83.258273,NA,NA
"USGS-424817084491001",42.8047569,-84.8194355,NA,NA
"USGS-424817086000401",42.8047472,-86.0011504,NA,NA
"USGS-424817086001601",42.8047471,-86.0044838,NA,NA
"USGS-424818084431501",42.8050347,-84.7208206,NA,NA
"USGS-424818086002701",42.8050248,-86.0075394,NA,NA
"USGS-424819083100901",42.8054944,-83.1694222,NA,NA
"USGS-424819083222500",42.8052722,-83.3735583,NA,NA
"USGS-424819083222501",42.8052722,-83.3740806,NA,NA
"USGS-424819083360701",42.805306,-83.6018919,NA,NA
"USGS-424819085514601",42.8053046,-85.8628116,NA,NA
"USGS-424820083175700",42.8055861,-83.2992111,NA,NA
"USGS-424820083175701",42.8055861,-83.2992111,NA,NA
"USGS-424820083175702",42.8055861,-83.2992111,NA,NA
"USGS-424820083175703",42.8055861,-83.2992111,NA,NA
"USGS-424821085480501",42.805861,-85.8014202,NA,NA
"USGS-424821085575201",42.8058588,-85.9644823,NA,NA
"USGS-424822083305001",42.8061111,-83.5138889,NA,"13018109"
"USGS-424822083305002",42.8061111,-83.5138889,NA,"13018109"
"USGS-424822083305003",42.8061111,-83.5138889,NA,"13018109"
"USGS-424822083305005",42.8061111,-83.5138889,NA,"13018109"
"USGS-424822083305006",42.8061111,-83.5138889,NA,"13018109"
"USGS-424823085502601",42.806416,-85.8405885,NA,NA
"USGS-424823086002501",42.8064137,-86.0069839,NA,NA
"USGS-424825084465701",42.8069792,-84.7824897,NA,NA
"USGS-424825086003001",42.8069693,-86.0083728,NA,NA
"USGS-424827084471301",42.8075347,-84.7869343,NA,NA
"USGS-424828083400201",42.807806,-83.6671714,NA,"13018069"
"USGS-424828083400202",42.807806,-83.6671714,NA,"13018069"
"USGS-424828083400203",42.807806,-83.6671714,NA,"13018069"
"USGS-424828083400205",42.807806,-83.6671714,NA,"13018069"
"USGS-424828083400206",42.807806,-83.6671714,NA,"13018069"
"USGS-424829084472801",42.8080902,-84.7911012,NA,NA
"USGS-424830083311801",42.8083616,-83.5216121,NA,"13018075"
"USGS-424830083311802",42.8083616,-83.5216121,NA,"13018075"
"USGS-424830083311803",42.8083616,-83.5216121,NA,"13018075"
"USGS-424830083311805",42.8083616,-83.5216121,NA,"13018075"
"USGS-424830083311806",42.8083616,-83.5216121,NA,"13018075"
"USGS-424831085485101",42.8086386,-85.8141986,NA,NA
"USGS-424831085490001",42.8086385,-85.8166987,NA,NA
"USGS-424831085512101",42.808638,-85.8558669,NA,NA
"USGS-424832083275701",42.8089174,-83.4657775,NA,NA
"USGS-424832085560901",42.8089147,-85.9358701,NA,NA
"USGS-424833083161501",42.8092333,-83.2708556,NA,NA
"USGS-424833085562801",42.8091924,-85.9411481,NA,NA
"USGS-424834083403001",42.8094444,-83.675,NA,"13018019"
"USGS-424834083403002",42.8094444,-83.675,NA,"13018019"
"USGS-424834083403003",42.8094444,-83.675,NA,"13018019"
"USGS-424834083403005",42.8094444,-83.675,NA,"13018019"
"USGS-424834083403006",42.8094444,-83.675,NA,"13018019"
"USGS-424834085593801",42.8094694,-85.993928,NA,NA
"USGS-424835083250601",42.8097512,-83.4182765,NA,NA
"USGS-424835084470301",42.8097569,-84.7841565,NA,NA
"USGS-424835084473701",42.8097569,-84.7936013,NA,NA
"USGS-424835085593701",42.8097472,-85.9936502,NA,NA
"USGS-424836084472501",42.8100347,-84.7902679,NA,NA
"USGS-424836084472901",42.8100347,-84.791379,NA,NA
"USGS-424836084473801",42.8100347,-84.7938791,NA,NA
"USGS-424836084473901",42.8100347,-84.7941569,NA,NA
"USGS-424836085522101",42.8100266,-85.8725343,NA,NA
"USGS-424836085522201",42.8100266,-85.8728121,NA,NA
"USGS-424837084473901",42.8103124,-84.7941569,NA,NA
"USGS-424837084475701",42.8103124,-84.799157,NA,NA
"USGS-424837085483201",42.8103053,-85.8089207,NA,NA
"USGS-424837085485001",42.8103052,-85.8139209,NA,NA
"USGS-424837085493501",42.810305,-85.8264214,NA,NA
"USGS-424837085502801",42.8103048,-85.8411442,NA,NA
"USGS-424837085503601",42.8103048,-85.8433665,NA,NA
"USGS-424837085512001",42.8103046,-85.8555892,NA,NA
"USGS-424837085560101",42.8103036,-85.9336479,NA,NA
"USGS-424837085561901",42.8103035,-85.938648,NA,NA
"USGS-424838085490001",42.810583,-85.8166988,NA,NA
"USGS-424839083022401",42.811,-83.0402444,NA,NA
"USGS-424839083173101",42.8108634,-83.291885,NA,NA
"USGS-424839084482401",42.810868,-84.8066574,NA,NA
"USGS-424839085253201",42.8108656,-85.425572,NA,"12144170"
"USGS-424839085253202",42.8108656,-85.425572,NA,"12144170"
"USGS-424839085253203",42.8108656,-85.425572,NA,"12144170"
"USGS-424839085253205",42.8108656,-85.425572,NA,"12144170"
"USGS-424839085253206",42.8108656,-85.425572,NA,"12144170"
"USGS-424839085561701",42.8108591,-85.9380925,NA,NA
"USGS-424840084473101",42.8111458,-84.7919346,NA,NA
"USGS-424840085570301",42.8111367,-85.9508708,NA,NA
"USGS-424841083465301",42.8166954,-83.7838417,NA,NA
"USGS-424841084473101",42.8114235,-84.7919346,NA,NA
"USGS-424841085432701",42.8114175,-85.7241951,NA,NA
"USGS-424841085473001",42.8114166,-85.7916978,NA,NA
"USGS-424842083354201",42.8116949,-83.5949474,NA,NA
"USGS-424842085470201",42.8116945,-85.7839197,NA,NA
"USGS-424842085471301",42.8116945,-85.7869754,NA,NA
"USGS-424842085514001",42.8116934,-85.861145,NA,NA
"USGS-424842085575701",42.811692,-85.9658714,NA,NA
"USGS-424843084323401",42.8119785,-84.542758,NA,NA
"USGS-424843085474501",42.8119721,-85.7958647,NA,NA
"USGS-424844085433301",42.8122508,-85.7258619,NA,NA
"USGS-424844085523001",42.8122488,-85.8750345,NA,NA
"USGS-424844085524001",42.8122488,-85.8778124,NA,NA
"USGS-424845085432701",42.8125286,-85.7241952,NA,NA
"USGS-424846084381701",42.8128122,-84.6380397,NA,NA
"USGS-424846084404701",42.8128123,-84.679708,NA,NA
"USGS-424846084464601",42.8128125,-84.7794342,NA,NA
"USGS-424846085525201",42.8128043,-85.8811458,NA,NA
"USGS-424846085554801",42.8128036,-85.9300367,NA,NA
"USGS-424846085561401",42.8128035,-85.9372592,NA,NA
"USGS-424846085562301",42.8128035,-85.9397593,NA,NA
"USGS-424847083173401",42.8130556,-83.2927778,NA,"13183300"
"USGS-424847083173402",42.8130556,-83.2927778,NA,"13183300"
"USGS-424847083173403",42.8130556,-83.2927778,NA,"13183300"
"USGS-424847083173405",42.8130556,-83.2927778,NA,"13183300"
"USGS-424847083173406",42.8130556,-83.2927778,NA,"13183300"
"USGS-424847084450301",42.8130903,-84.750822,NA,NA
"USGS-424847084472201",42.8130902,-84.7894346,NA,NA
"USGS-424847084490001",42.8130901,-84.8166578,NA,NA
"USGS-424847085571401",42.813081,-85.9539265,NA,NA
"USGS-424848083470701",42.8183622,-83.787453,NA,NA
"USGS-424848084300701",42.8133672,-84.501923,NA,NA
"USGS-424848084391401",42.8133678,-84.6538737,NA,NA
"USGS-424848084460701",42.813368,-84.7686005,NA,NA
"USGS-424848084474901",42.813368,-84.7969349,NA,NA
"USGS-424848084482401",42.8133679,-84.8066575,NA,NA
"USGS-424848085503801",42.8133603,-85.8439222,NA,NA
"USGS-424848085563901",42.813359,-85.9442039,NA,NA
"USGS-424848085564901",42.8133589,-85.9469818,NA,NA
"USGS-424849084475601",42.8136457,-84.7988794,NA,NA
"USGS-424850085523201",42.8139154,-85.8755901,NA,NA
"USGS-424850085585501",42.813914,-85.9819832,NA,NA
"USGS-424851084363501",42.8142009,-84.6097052,NA,NA
"USGS-424851085502601",42.8141937,-85.8405887,NA,NA
"USGS-424852084352301",42.8144786,-84.5897044,NA,NA
"USGS-424852084450001",42.8144792,-84.7499887,NA,NA
"USGS-424852084450002",42.8144792,-84.7499887,NA,NA
"USGS-424852085502601",42.8144714,-85.8405887,NA,NA
"USGS-424853083173909",42.8147523,-83.2941073,NA,NA
"USGS-424853084450001",42.814757,-84.7499887,NA,NA
"USGS-424853084452801",42.8147569,-84.7577668,NA,NA
"USGS-424853085562101",42.8147479,-85.9392038,NA,NA
"USGS-424853085562102",42.8147479,-85.9392038,NA,NA
"USGS-424854083263801",42.8150287,-83.4438327,NA,NA
"USGS-424854084452801",42.8150347,-84.7577668,NA,NA
"USGS-424854084452901",42.8150347,-84.7580446,NA,NA
"USGS-424854084471601",42.8150346,-84.7877679,NA,NA
"USGS-424854084472201",42.8150346,-84.7894346,NA,NA
"USGS-424854085514101",42.8150267,-85.8614229,NA,NA
"USGS-424855083074401",42.815308,-83.1288247,NA,NA
"USGS-424855084453001",42.8153125,-84.7583224,NA,NA
"USGS-424855084465601",42.8153124,-84.7822122,NA,NA
"USGS-424855084485001",42.8153124,-84.81388,NA,NA
"USGS-424855086002501",42.8153025,-86.0069841,NA,NA
"USGS-424856084485101",42.8155901,-84.8141578,NA,NA
"USGS-424900083150001",42.8191944,-83.2556944,NA,NA
"USGS-424900083560101",42.8166978,-83.9335689,NA,NA
"USGS-424901084265502",42.8169779,-84.4485878,NA,NA
"USGS-424901084285601",42.8169782,-84.4822002,NA,NA
"USGS-424901084430001",42.8169791,-84.7166541,NA,NA
"USGS-424901084451801",42.8169792,-84.754989,NA,NA
"USGS-424902085522201",42.8172487,-85.8728123,NA,NA
"USGS-424903085514901",42.8175266,-85.8636453,NA,NA
"USGS-424903085552001",42.8175259,-85.9222587,NA,NA
"USGS-424904085502501",42.8178047,-85.840311,NA,NA
"USGS-424905083212700",42.8179528,-83.3575611,NA,NA
"USGS-424905083212701",42.8188028,-83.3582944,NA,NA
"USGS-424905084265001",42.818089,-84.4471989,NA,NA
"USGS-424905085561501",42.8180812,-85.9375371,NA,NA
"USGS-424906084451701",42.818368,-84.7547112,NA,NA
"USGS-424906084495101",42.8183678,-84.8308252,NA,NA
"USGS-424906085562801",42.8183589,-85.9411484,NA,NA
"USGS-424907084494901",42.8186456,-84.8302696,NA,NA
"USGS-424907085590401",42.8186361,-85.9844835,NA,NA
"USGS-424908083151903",42.8190472,-83.2555306,NA,NA
"USGS-424908084490801",42.8189234,-84.8188803,NA,NA
"USGS-424908085481301",42.8189163,-85.8036429,NA,NA
"USGS-424908085514701",42.8189155,-85.8630898,NA,NA
"USGS-424908085590501",42.8189139,-85.9847613,NA,NA
"USGS-424909084490101",42.8192012,-84.8169358,NA,NA
"USGS-424909085515001",42.8191933,-85.8639231,NA,NA
"USGS-424909085543601",42.8191927,-85.910036,NA,NA
"USGS-424909085574201",42.819192,-85.9617048,NA,NA
"USGS-424910083424201",42.8194444,-83.7116667,NA,"13029437"
"USGS-424910083424202",42.8194444,-83.7116667,NA,"13029437"
"USGS-424910083424203",42.8194444,-83.7116667,NA,"13029437"
"USGS-424910083424205",42.8194444,-83.7116667,NA,"13029437"
"USGS-424910083424206",42.8194444,-83.7116667,NA,"13029437"
"USGS-424910083450001",42.8194727,-83.7499517,NA,"13029499"
"USGS-424910083450002",42.8194727,-83.7499517,NA,"13029499"
"USGS-424910083450003",42.8194727,-83.7499517,NA,"13029499"
"USGS-424910083450005",42.8194727,-83.7499517,NA,"13029499"
"USGS-424910083450006",42.8194727,-83.7499517,NA,"13029499"
"USGS-424910084500001",42.8194789,-84.8333253,NA,NA
"USGS-424911083374401",42.8197504,-83.6288374,NA,NA
"USGS-424911085540001",42.8197483,-85.9000357,NA,NA
"USGS-424911085562001",42.8197478,-85.9389261,NA,NA
"USGS-424913083152101",42.8203081,-83.2557732,NA,NA
"USGS-424913083152401",42.8203081,-83.2566066,NA,NA
"USGS-424914083260909",42.8205843,-83.4357771,NA,NA
"USGS-424914084452901",42.8205902,-84.7580447,NA,NA
"USGS-424914084475001",42.8205901,-84.7972129,NA,NA
"USGS-424914085183001",42.8205901,-84.7916571,NA,NA
"USGS-424915083174400",42.8210528,-83.2957028,NA,NA
"USGS-424915083174401",42.8210528,-83.2957028,NA,NA
"USGS-424915083174402",42.8210528,-83.2957028,NA,NA
"USGS-424915084445701",42.820868,-84.7491555,NA,NA
"USGS-424915084475001",42.8208679,-84.7972129,NA,NA
"USGS-424915085485801",42.8208606,-85.8161435,NA,NA
"USGS-424916084445801",42.8211458,-84.7494333,NA,NA
"USGS-424916084480801",42.8211457,-84.802213,NA,NA
"USGS-424917083360309",42.8214171,-83.6007812,NA,"13017999"
"USGS-424917084221201",42.8214215,-85.3700145,NA,NA
"USGS-424917084480701",42.8214235,-84.8019353,NA,NA
"USGS-424918085562101",42.8216922,-85.939204,NA,NA
"USGS-424919083173709",42.8219744,-83.2935519,NA,"13183288"
"USGS-424920084450201",42.8222569,-84.7505445,NA,NA
"USGS-424920084471501",42.8222568,-84.7874903,NA,NA
"USGS-424920084500801",42.8222567,-84.8355477,NA,NA
"USGS-424921084480701",42.8225346,-84.8019353,NA,NA
"USGS-424921084490101",42.8225345,-84.8169359,NA,NA
"USGS-424921084493301",42.8225345,-84.8258251,NA,NA
"USGS-424921085480201",42.8225274,-85.8005874,NA,NA
"USGS-424921085480202",42.8225274,-85.8005874,NA,NA
"USGS-424921085491201",42.8225271,-85.8200326,NA,NA
"USGS-424921085592001",42.8225249,-85.9889282,NA,NA
"USGS-424922083402801",42.822806,-83.6743943,NA,NA
"USGS-424922084490001",42.8228123,-84.8166581,NA,NA
"USGS-424924083084509",42.8241968,-83.1460476,NA,"13183256"
"USGS-424924085500101",42.8233603,-85.8336443,NA,NA
"USGS-424924085515801",42.8233598,-85.8661456,NA,NA
"USGS-424925085562001",42.8236367,-85.9389262,NA,NA
"USGS-424926085570701",42.8239143,-85.9519823,NA,NA
"USGS-424926085584501",42.8239139,-85.9792056,NA,NA
"USGS-424926085584502",42.8239139,-85.9792056,NA,NA
"USGS-424927084565501",42.8266979,-83.9452362,NA,NA
"USGS-424928084394201",42.8244788,-84.661652,NA,NA
"USGS-424928084471401",42.824479,-84.7872126,NA,NA
"USGS-424928085472001",42.824472,-85.7889203,NA,NA
"USGS-424928085481201",42.8244718,-85.8033653,NA,NA
"USGS-424928085594901",42.8244692,-85.9969841,NA,NA
"USGS-424929083470901",42.824751,-83.7857864,NA,NA
"USGS-424929084475701",42.8247568,-84.7991575,NA,NA
"USGS-424929085475501",42.8247496,-85.7986429,NA,NA
"USGS-424929085482101",42.8247495,-85.8058654,NA,NA
"USGS-424929085501001",42.8247491,-85.8361444,NA,NA
"USGS-424929085502901",42.824749,-85.8414224,NA,NA
"USGS-424929085513601",42.8247488,-85.8600343,NA,NA
"USGS-424929085551801",42.824748,-85.9217034,NA,NA
"USGS-424930085513701",42.8250266,-85.860312,NA,NA
"USGS-424932084490601",42.82559,-84.8183249,NA,NA
"USGS-424932085573101",42.8255808,-85.9586493,NA,NA
"USGS-424933084453901",42.825868,-84.7608228,NA,NA
"USGS-424933084454001",42.825868,-84.7611006,NA,NA
"USGS-424933084471501",42.8258679,-84.7874904,NA,NA
"USGS-424933085502701",42.8258601,-85.8408669,NA,NA
"USGS-424933085522301",42.8258597,-85.8730904,NA,NA
"USGS-424933085564001",42.8258588,-85.9444821,NA,NA
"USGS-424933085564701",42.8258587,-85.9464266,NA,NA
"USGS-424934085341201",42.8261416,-85.5700228,NA,NA
"USGS-424934085472701",42.8261386,-85.7908649,NA,NA
"USGS-424934085482801",42.8261383,-85.80781,NA,NA
"USGS-424934085492601",42.8261381,-85.8239217,NA,NA
"USGS-424934085505101",42.8261378,-85.8475338,NA,NA
"USGS-424934085524001",42.8261374,-85.8778128,NA,NA
"USGS-424934085575001",42.8261363,-85.9639273,NA,NA
"USGS-424935083143909",42.8264191,-83.2441063,NA,NA
"USGS-424935084472401",42.8264234,-84.7899906,NA,NA
"USGS-424935085482901",42.8264161,-85.8080878,NA,NA
"USGS-424935085485601",42.826416,-85.8155881,NA,NA
"USGS-424935085515801",42.8264154,-85.8661457,NA,NA
"USGS-424935085524801",42.8264152,-85.8800351,NA,NA
"USGS-424935085525101",42.8264152,-85.8808685,NA,NA
"USGS-424935086001901",42.8264135,-86.0053178,NA,NA
"USGS-424936086000401",42.8266913,-86.001151,NA,NA
"USGS-424937084232501",42.8269772,-84.3902525,NA,"13174193"
"USGS-424937084232503",42.8269772,-84.3902525,NA,"13174193"
"USGS-424937084421801",42.8269789,-84.703876,NA,NA
"USGS-424937085523301",42.8269708,-85.8758683,NA,NA
"USGS-424937085525801",42.8269707,-85.882813,NA,NA
"USGS-424938083222401",42.8272514,-83.3732759,NA,NA
"USGS-424938084323601",42.8272561,-84.543314,NA,NA
"USGS-424938084421801",42.8272567,-84.7049872,NA,NA
"USGS-424938085562801",42.8272477,-85.9411487,NA,NA
"USGS-424938085562901",42.8272477,-85.9414265,NA,NA
"USGS-424939083422701",42.8275,-83.7075,NA,"13029437"
"USGS-424939083422702",42.8275,-83.7075,NA,"13029437"
"USGS-424939083422703",42.8275,-83.7075,NA,"13029437"
"USGS-424939083422705",42.8275,-83.7075,NA,"13029437"
"USGS-424939083422706",42.8275,-83.7075,NA,"13029437"
"USGS-424939085503701",42.8275267,-85.8436448,NA,NA
"USGS-424939085565601",42.8275254,-85.9489268,NA,NA
"USGS-424939085592201",42.8275248,-85.9894839,NA,NA
"USGS-424940085010901",42.8278117,-85.019166,NA,NA
"USGS-424942084471501",42.8283679,-84.7874905,NA,NA
"USGS-424943085553901",42.8286367,-85.927537,NA,NA
"USGS-424943086002801",42.8286357,-86.0078179,NA,NA
"USGS-424943086004601",42.8286356,-86.012818,NA,NA
"USGS-424944083330701",42.828917,-83.5518912,NA,NA
"USGS-424944084431301",42.8289234,-84.7202657,NA,NA
"USGS-424945083090701",42.8291967,-83.1518812,NA,"13183256"
"USGS-424945083090702",42.8291967,-83.1518812,NA,"13183256"
"USGS-424945083090703",42.8291967,-83.1518812,NA,"13183256"
"USGS-424945083090705",42.8291967,-83.1518812,NA,"13183256"
"USGS-424945083090706",42.8291967,-83.1518812,NA,"13183256"
"USGS-424945085562101",42.8291921,-85.9392042,NA,NA
"USGS-424946085502601",42.8294712,-85.8405892,NA,NA
"USGS-424946085503501",42.8294712,-85.8430893,NA,NA
"USGS-424946085513801",42.8294709,-85.86059,NA,NA
"USGS-424950084123001",42.8130876,-84.2146902,NA,NA
"USGS-424950085525101",42.8305818,-85.8808686,NA,NA
"USGS-424950085525801",42.8305817,-85.8828131,NA,NA
"USGS-424951085562201",42.8308588,-85.939482,NA,NA
"USGS-424952083084301",42.8311411,-83.1452143,NA,"13183256"
"USGS-424952083084302",42.8311411,-83.1452143,NA,"13183256"
"USGS-424952083084303",42.8311411,-83.1452143,NA,"13183256"
"USGS-424952083084305",42.8311411,-83.1452143,NA,"13183256"
"USGS-424952083084306",42.8311411,-83.1452143,NA,"13183256"
"USGS-424953085501101",42.8314157,-85.8364224,NA,NA
"USGS-424953085522201",42.8314152,-85.8728127,NA,NA
"USGS-424954085483801",42.8316938,-85.810588,NA,NA
"USGS-424954085483901",42.8316938,-85.8108658,NA,NA
"USGS-424954085500201",42.8316935,-85.8339223,NA,NA
"USGS-424954085513501",42.8316931,-85.8597567,NA,NA
"USGS-424955085514901",42.8319708,-85.8636457,NA,NA
"USGS-424955085521801",42.8319707,-85.8717016,NA,NA
"USGS-424956085483501",42.8322493,-85.8097547,NA,NA
"USGS-424956085493201",42.8322491,-85.8255887,NA,NA
"USGS-424956085551201",42.8322479,-85.9200369,NA,NA
"USGS-424958085270001",42.8328096,-85.4500181,NA,"12144146"
"USGS-424958085270002",42.8328096,-85.4500181,NA,"12144146"
"USGS-424958085270003",42.8328096,-85.4500181,NA,"12144146"
"USGS-424958085270005",42.8328096,-85.4500181,NA,"12144146"
"USGS-424958085270006",42.8328096,-85.4500181,NA,"12144146"
"USGS-424958085490301",42.8328048,-85.8175328,NA,NA
"USGS-424958085495201",42.8328046,-85.8311445,NA,NA
"USGS-424958085584301",42.8328027,-85.9786503,NA,NA
"USGS-424959085504401",42.8330822,-85.8455895,NA,NA
"USGS-424959085505101",42.8330822,-85.847534,NA,NA
"USGS-424959085510201",42.8330821,-85.8505897,NA,NA
"USGS-424959085512701",42.833082,-85.8575344,NA,NA
"USGS-425000084200001",42.8333654,-84.333306,NA,NA
"USGS-425000085483701",42.8333604,-85.8103103,NA,NA
"USGS-425000085484601",42.8333604,-85.8128104,NA,NA
"USGS-425000085494301",42.8333602,-85.8286444,NA,NA
