"WBIC","site_id"
610700,"nhd_6847749"
2096700,NA
2348700,"nhd_13124320"
2490400,"nhd_2647228"
531300,NA
2615100,"nhd_2647328"
198100,"nhd_9026587"
2151000,"nhd_13105759"
2485500,"nhd_2647788"
2858300,"nhd_1803593"
379100,NA
521400,"nhd_6819874"
418000,"nhd_6808506"
1766600,"nhd_13131991"
2152100,"nhd_13104051"
189500,"nhd_9029637"
299200,"nhd_9029899"
299100,"nhd_9029899"
414900,"nhd_6800754"
2133200,"nhd_13097764"
1403600,"nhd_14701884"
1410300,"nhd_167120891"
2599000,"nhd_2260853"
2470800,"nhd_2260749"
2770300,"nhd_1816245"
2742100,"nhd_2260935"
2901100,"nhd_1816151"
2501700,"nhd_2260791"
2770500,NA
2467100,"nhd_1852725"
1599600,"nhd_13396007"
1004500,"nhd_13393647"
1600200,"nhd_13396013"
1541500,"nhd_13393747"
2392000,"nhd_13121080"
2253400,"nhd_12991247"
672300,"nhd_6842425"
1016200,"nhd_13394025"
2459500,"nhd_2646378"
1555400,"nhd_13395373"
2211300,"nhd_12979571"
634300,"nhd_120052171"
2171000,"nhd_13104043"
2171600,"nhd_13103947"
458700,"nhd_6808690"
523300,"nhd_6819790"
326400,"nhd_9029805"
779500,"nhd_13296408"
277800,"nhd_9035765"
198000,"nhd_9035817"
1788300,"nhd_2731780"
40900,"nhd_12161342"
1286500,"nhd_13652604"
1286100,"nhd_13652612"
1641400,"nhd_13205684"
861900,"nhd_13289550"
742275,"nhd_14767182"
779300,"nhd_13294464"
406400,"nhd_120053482"
809800,"nhd_13291034"
6100,NA
881600,NA
777800,"nhd_13296526"
886000,"nhd_13424945"
1717700,"nhd_13135119"
1653500,"nhd_2454776"
1275500,"nhd_13653696"
1663400,NA
2502200,"nhd_2260735"
2310400,"nhd_13343156"
2934000,"nhd_1813891"
1880100,NA
2732200,"nhd_1849679"
2299900,"nhd_13345476"
2301800,"nhd_13345454"
2728700,"nhd_1849829"
2695800,"nhd_1849929"
1823500,NA
149800,"nhd_6866325"
1354300,"nhd_14705974"
46750,NA
751100,"nhd_14768008"
772000,"nhd_14767156"
778500,"nhd_13294534"
822200,"nhd_13294494"
820800,"nhd_13294582"
770500,"nhd_14767658"
818700,"nhd_13294716"
781250,"nhd_13294916"
349600,NA
2935600,"nhd_1813691"
2900200,"nhd_1816509"
2600800,"nhd_2261061"
2694000,"nhd_1849589"
2959700,"nhd_6792111"
2307300,"nhd_13343174"
2961600,"nhd_6792345"
1844300,"nhd_13345364"
2459700,"nhd_1849729"
2313100,"nhd_13345520"
1629500,"nhd_13391565"
1979100,NA
2491100,"nhd_2266577"
2387200,"nhd_13121252"
2650900,"nhd_2643660"
2461500,"nhd_2266663"
2651800,"nhd_2643642"
2496100,"nhd_2264295"
1611100,"nhd_13394263"
2453900,NA
2628800,"nhd_2646446"
2202600,"nhd_12980479"
2624200,"nhd_2646764"
2096700,"nhd_13081141"
2506400,NA
1374300,"nhd_14704124"
455300,"nhd_6808754"
518300,"nhd_6819970"
98600,"nhd_13062671"
306600,NA
2640700,"nhd_2644102"
632800,"nhd_6842811"
1520900,"nhd_13395163"
1560400,"nhd_13395439"
2104500,"nhd_13079127"
1304600,NA
856800,"nhd_13290678"
754400,"nhd_14767874"
748800,"nhd_14768002"
794200,"nhd_13294882"
