"dowlknum","site_id"
"83005200","nhd_2424507"
"32002100","nhd_14618652"
"32006000",NA
"32004600",NA
"32011400",NA
"32006600",NA
"32001400",NA
"46013600",NA
"17002000","nhd_2425367"
"17001000",NA
"46013700",NA
"32007800",NA
"32010004",NA
"17001300","nhd_6580672"
"32010003",NA
"17005000",NA
"32009100",NA
"32002000","nhd_14618626"
"32002900",NA
"46012800",NA
"17001800","nhd_2425333"
"17000700","nhd_2425387"
"32006400","nhd_14618670"
"32001000",NA
"32003500",NA
"32010002",NA
"17003000","nhd_6580562"
"32004300",NA
"32003600",NA
"46013400",NA
"46012600",NA
"17000500",NA
"32002300",NA
"32004400",NA
"32003000",NA
"32004500","nhd_6580734"
"17004700",NA
"32002500",NA
"46012400",NA
"17001400","nhd_2425479"
"17006400","nhd_6580682"
"17002800",NA
"46012700",NA
"32006500",NA
"46016600",NA
"32001200",NA
"32008700",NA
"17002102","nhd_6580634"
"83006000","nhd_2423331"
"32001602","nhd_2749410"
"17003600",NA
"17005700","nhd_4048190"
"32004700","nhd_6580692"
"32005705","nhd_6580726"
"32001700","nhd_2749434"
"46013100",NA
"17000900",NA
"32005707","nhd_6580736"
"32005400",NA
"32008300",NA
"17000800","nhd_6580614"
"32004800","nhd_6580690"
"32004100",NA
"32001804",NA
"32005200","nhd_6580728"
"32010006",NA
"46012200",NA
"32001300",NA
"32003100","nhd_14618628"
"17000400",NA
"32000100",NA
"32001100",NA
"46014000",NA
"17002200","nhd_6580646"
"17003900",NA
"17000600",NA
"32000300","nhd_6590516"
"46012300",NA
"17005300","nhd_4048136"
"32002400","nhd_120052251"
"17001200","nhd_2425453"
"83005400","nhd_2424535"
"46012500",NA
"46014300",NA
"17004000",NA
"32010005",NA
"32003700",NA
"17000300","nhd_2424487"
"17003400",NA
"32002300",NA
"32002400","nhd_120052251"
"32002500",NA
"46008400","nhd_2424563"
"22007500","nhd_10597316"
"46003500","nhd_2748340"
"46002300","nhd_2748344"
"46009800","nhd_6590556"
"46005900",NA
"22008100",NA
"46006900",NA
"46005800",NA
"46007100","nhd_6590564"
"46006500","nhd_6590538"
"07008200",NA
"46004500",NA
"46001300","nhd_120053164"
"83005500","nhd_2423369"
"46002500","nhd_2748294"
"46005200","nhd_6590532"
"46004400","nhd_2748274"
"22007900",NA
"22009400",NA
"07009700","nhd_4141948"
"46005100","nhd_120052573"
"46016500","nhd_2748226"
"46006300","nhd_6590536"
"22008800","nhd_2748292"
"46011200",NA
"46010800",NA
"46006600",NA
"46001300","nhd_120053164"
"83005700",NA
"46001402","nhd_2748358"
"22005900",NA
"83002400",NA
"46004200","nhd_2748260"
"22009000",NA
"46007400",NA
"46007000",NA
"83001600",NA
"46002400","nhd_2748288"
"07011000","nhd_2748166"
"22005800",NA
"46007300",NA
"46009100",NA
"07010700",NA
"46011500","nhd_2748246"
"83001000","nhd_120052350"
"46004700","nhd_2424575"
"22006800",NA
"07010900",NA
"07011900",NA
"46008500","nhd_2424573"
"46001500",NA
"46011400",NA
"46005500",NA
"07009600","nhd_4141942"
"46014500","nhd_2748178"
"22006600",NA
"46010400",NA
"22009100",NA
"22006200",NA
"46014400",NA
"22006400","nhd_10597326"
"46009000",NA
"22006900",NA
"22008000",NA
"83001300","nhd_2424437"
"07008000",NA
"46012900",NA
"46006700",NA
"22005600",NA
"46007200",NA
"46000500",NA
"46001600","nhd_2748378"
"46002802",NA
"46008600","nhd_2424571"
"07009400",NA
"07011500",NA
"07009500",NA
"46009300",NA
"07011100",NA
"83003200","nhd_2424469"
"46007600","nhd_6590526"
"46010600",NA
"83003300","nhd_2424485"
"83004300","nhd_2424433"
"46002900","nhd_2748308"
"46004600","nhd_2424569"
