"site_id"	"year"	"date"	"secchi_m"
"WBIC_2332400"	1989	"1989-05-16"	4.1
"WBIC_2332400"	1989	"1989-05-29"	5
"WBIC_2332400"	1989	"1989-06-13"	3.5
"WBIC_2332400"	1989	"1989-06-28"	3.2
"WBIC_2332400"	1989	"1989-07-12"	3.6
"WBIC_2332400"	1989	"1989-07-25"	3.8
"WBIC_2332400"	1989	"1989-08-07"	2.5
"WBIC_2332400"	1989	"1989-08-22"	2.2
"WBIC_2332400"	1989	"1989-09-06"	1.7
"WBIC_2332400"	1989	"1989-09-19"	1.7
"WBIC_2332400"	1989	"1989-10-04"	2.7
"WBIC_2332400"	1989	"1989-10-18"	3.3
"WBIC_2332400"	1989	"1989-10-31"	3
"WBIC_2332400"	1989	"1989-11-09"	2.7
"WBIC_2332400"	1990	"1990-01-24"	3.2
"WBIC_2332400"	1990	"1990-02-27"	3
"WBIC_2332400"	1990	"1990-03-27"	4.1
"WBIC_2332400"	1990	"1990-04-30"	2.4
"WBIC_2332400"	1990	"1990-05-17"	5.3
"WBIC_2332400"	1990	"1990-05-30"	5.9
"WBIC_2332400"	1990	"1990-06-13"	4
"WBIC_2332400"	1990	"1990-06-27"	3.2
"WBIC_2332400"	1990	"1990-07-09"	3.1
"WBIC_2332400"	1990	"1990-07-24"	3.3
"WBIC_2332400"	1990	"1990-08-08"	2.5
"WBIC_2332400"	1990	"1990-08-22"	2.2
"WBIC_2332400"	1990	"1990-09-04"	1.9
"WBIC_2332400"	1990	"1990-09-18"	1.8
"WBIC_2332400"	1990	"1990-10-03"	2
"WBIC_2332400"	1990	"1990-10-17"	2.1
"WBIC_2332400"	1990	"1990-10-31"	1.1
"WBIC_2332400"	1990	"1990-11-09"	1.2
"WBIC_2332400"	1991	"1991-01-17"	3
"WBIC_2332400"	1991	"1991-02-19"	3.8
"WBIC_2332400"	1991	"1991-03-25"	3.6
"WBIC_2332400"	1991	"1991-05-07"	2
"WBIC_2332400"	1991	"1991-05-21"	5.7
"WBIC_2332400"	1991	"1991-06-04"	2.6
"WBIC_2332400"	1991	"1991-06-18"	3.6
"WBIC_2332400"	1991	"1991-07-03"	3.1
"WBIC_2332400"	1991	"1991-07-15"	2.7
"WBIC_2332400"	1991	"1991-07-30"	2.8
"WBIC_2332400"	1991	"1991-08-13"	3.5
"WBIC_2332400"	1991	"1991-08-27"	2.8
"WBIC_2332400"	1991	"1991-09-10"	2.4
"WBIC_2332400"	1991	"1991-09-23"	1.4
"WBIC_2332400"	1991	"1991-10-09"	2.2
"WBIC_2332400"	1991	"1991-10-28"	2.7
"WBIC_2332400"	1992	"1992-01-17"	3.2
"WBIC_2332400"	1992	"1992-03-04"	3.1
"WBIC_2332400"	1992	"1992-03-23"	2.4
"WBIC_2332400"	1992	"1992-05-05"	1.2
"WBIC_2332400"	1992	"1992-05-18"	3.3
