"id"	"time.start"	"time.end"	"variable"	"file.name"
"nhd_1098766"	"1960-01-01"	"2099-12-31"	"dswrfsfc"	"ECHAM5_nhd_1098766_19600101.20991231_dswrfsfc.RData"
"nhd_1098766"	"1960-01-01"	"2099-12-31"	"precip"	"ECHAM5_nhd_1098766_19600101.20991231_precip.RData"
"nhd_1098766"	"1960-01-01"	"2099-12-31"	"pressfc"	"ECHAM5_nhd_1098766_19600101.20991231_pressfc.RData"
"nhd_1098766"	"1960-01-01"	"2099-12-31"	"relhum"	"ECHAM5_nhd_1098766_19600101.20991231_relhum.RData"
"nhd_1098766"	"1960-01-01"	"2099-12-31"	"ugrd10m"	"ECHAM5_nhd_1098766_19600101.20991231_ugrd10m.RData"
"nhd_1098766"	"1960-01-01"	"2099-12-31"	"vgrd10m"	"ECHAM5_nhd_1098766_19600101.20991231_vgrd10m.RData"
"nhd_1098804"	"1960-01-01"	"2099-12-31"	"airtemp"	"ECHAM5_nhd_1098804_19600101.20991231_airtemp.RData"
"nhd_1098804"	"1960-01-01"	"2099-12-31"	"dlwrfsfc"	"ECHAM5_nhd_1098804_19600101.20991231_dlwrfsfc.RData"
"nhd_1098804"	"1960-01-01"	"2099-12-31"	"dswrfsfc"	"ECHAM5_nhd_1098804_19600101.20991231_dswrfsfc.RData"
"nhd_1098804"	"1960-01-01"	"2099-12-31"	"precip"	"ECHAM5_nhd_1098804_19600101.20991231_precip.RData"
"nhd_1098804"	"1960-01-01"	"2099-12-31"	"pressfc"	"ECHAM5_nhd_1098804_19600101.20991231_pressfc.RData"
"nhd_1098804"	"1960-01-01"	"2099-12-31"	"relhum"	"ECHAM5_nhd_1098804_19600101.20991231_relhum.RData"
"nhd_1098804"	"1960-01-01"	"2099-12-31"	"ugrd10m"	"ECHAM5_nhd_1098804_19600101.20991231_ugrd10m.RData"
"nhd_1098804"	"1960-01-01"	"2099-12-31"	"vgrd10m"	"ECHAM5_nhd_1098804_19600101.20991231_vgrd10m.RData"
"nhd_1098898"	"1960-01-01"	"2099-12-31"	"airtemp"	"ECHAM5_nhd_1098898_19600101.20991231_airtemp.RData"
"nhd_1098898"	"1960-01-01"	"2099-12-31"	"dlwrfsfc"	"ECHAM5_nhd_1098898_19600101.20991231_dlwrfsfc.RData"
"nhd_1098898"	"1960-01-01"	"2099-12-31"	"dswrfsfc"	"ECHAM5_nhd_1098898_19600101.20991231_dswrfsfc.RData"
"nhd_1098898"	"1960-01-01"	"2099-12-31"	"precip"	"ECHAM5_nhd_1098898_19600101.20991231_precip.RData"
"nhd_1098898"	"1960-01-01"	"2099-12-31"	"pressfc"	"ECHAM5_nhd_1098898_19600101.20991231_pressfc.RData"
"nhd_1098898"	"1960-01-01"	"2099-12-31"	"relhum"	"ECHAM5_nhd_1098898_19600101.20991231_relhum.RData"
"nhd_1098898"	"1960-01-01"	"2099-12-31"	"ugrd10m"	"ECHAM5_nhd_1098898_19600101.20991231_ugrd10m.RData"
"nhd_1098898"	"1960-01-01"	"2099-12-31"	"vgrd10m"	"ECHAM5_nhd_1098898_19600101.20991231_vgrd10m.RData"
"nhd_1098900"	"1960-01-01"	"2099-12-31"	"airtemp"	"ECHAM5_nhd_1098900_19600101.20991231_airtemp.RData"
"nhd_1098900"	"1960-01-01"	"2099-12-31"	"dlwrfsfc"	"ECHAM5_nhd_1098900_19600101.20991231_dlwrfsfc.RData"
"nhd_1098900"	"1960-01-01"	"2099-12-31"	"dswrfsfc"	"ECHAM5_nhd_1098900_19600101.20991231_dswrfsfc.RData"
"nhd_1098900"	"1960-01-01"	"2099-12-31"	"precip"	"ECHAM5_nhd_1098900_19600101.20991231_precip.RData"
"nhd_1098900"	"1960-01-01"	"2099-12-31"	"pressfc"	"ECHAM5_nhd_1098900_19600101.20991231_pressfc.RData"
"nhd_1098900"	"1960-01-01"	"2099-12-31"	"relhum"	"ECHAM5_nhd_1098900_19600101.20991231_relhum.RData"
"nhd_1098900"	"1960-01-01"	"2099-12-31"	"ugrd10m"	"ECHAM5_nhd_1098900_19600101.20991231_ugrd10m.RData"
"nhd_1098900"	"1960-01-01"	"2099-12-31"	"vgrd10m"	"ECHAM5_nhd_1098900_19600101.20991231_vgrd10m.RData"
"nhd_1098904"	"1960-01-01"	"2099-12-31"	"airtemp"	"ECHAM5_nhd_1098904_19600101.20991231_airtemp.RData"
"nhd_1098904"	"1960-01-01"	"2099-12-31"	"dlwrfsfc"	"ECHAM5_nhd_1098904_19600101.20991231_dlwrfsfc.RData"
"nhd_1098904"	"1960-01-01"	"2099-12-31"	"dswrfsfc"	"ECHAM5_nhd_1098904_19600101.20991231_dswrfsfc.RData"
"nhd_1098904"	"1960-01-01"	"2099-12-31"	"precip"	"ECHAM5_nhd_1098904_19600101.20991231_precip.RData"
"nhd_1098904"	"1960-01-01"	"2099-12-31"	"pressfc"	"ECHAM5_nhd_1098904_19600101.20991231_pressfc.RData"
"nhd_1098904"	"1960-01-01"	"2099-12-31"	"relhum"	"ECHAM5_nhd_1098904_19600101.20991231_relhum.RData"
"nhd_1098904"	"1960-01-01"	"2099-12-31"	"ugrd10m"	"ECHAM5_nhd_1098904_19600101.20991231_ugrd10m.RData"
"nhd_1098904"	"1960-01-01"	"2099-12-31"	"vgrd10m"	"ECHAM5_nhd_1098904_19600101.20991231_vgrd10m.RData"
"nhd_1098942"	"1960-01-01"	"2099-12-31"	"airtemp"	"ECHAM5_nhd_1098942_19600101.20991231_airtemp.RData"
"nhd_1098942"	"1960-01-01"	"2099-12-31"	"dlwrfsfc"	"ECHAM5_nhd_1098942_19600101.20991231_dlwrfsfc.RData"
"nhd_1098942"	"1960-01-01"	"2099-12-31"	"dswrfsfc"	"ECHAM5_nhd_1098942_19600101.20991231_dswrfsfc.RData"
"nhd_1098942"	"1960-01-01"	"2099-12-31"	"precip"	"ECHAM5_nhd_1098942_19600101.20991231_precip.RData"
"nhd_1098942"	"1960-01-01"	"2099-12-31"	"pressfc"	"ECHAM5_nhd_1098942_19600101.20991231_pressfc.RData"
"nhd_1098942"	"1960-01-01"	"2099-12-31"	"relhum"	"ECHAM5_nhd_1098942_19600101.20991231_relhum.RData"
"nhd_1098942"	"1960-01-01"	"2099-12-31"	"ugrd10m"	"ECHAM5_nhd_1098942_19600101.20991231_ugrd10m.RData"
"nhd_1098942"	"1960-01-01"	"2099-12-31"	"vgrd10m"	"ECHAM5_nhd_1098942_19600101.20991231_vgrd10m.RData"
"nhd_1098954"	"1960-01-01"	"2099-12-31"	"airtemp"	"ECHAM5_nhd_1098954_19600101.20991231_airtemp.RData"
"nhd_1098954"	"1960-01-01"	"2099-12-31"	"dlwrfsfc"	"ECHAM5_nhd_1098954_19600101.20991231_dlwrfsfc.RData"
"nhd_1098954"	"1960-01-01"	"2099-12-31"	"dswrfsfc"	"ECHAM5_nhd_1098954_19600101.20991231_dswrfsfc.RData"
"nhd_1098954"	"1960-01-01"	"2099-12-31"	"precip"	"ECHAM5_nhd_1098954_19600101.20991231_precip.RData"
"nhd_1098954"	"1960-01-01"	"2099-12-31"	"pressfc"	"ECHAM5_nhd_1098954_19600101.20991231_pressfc.RData"
"nhd_1098954"	"1960-01-01"	"2099-12-31"	"relhum"	"ECHAM5_nhd_1098954_19600101.20991231_relhum.RData"
"nhd_1098954"	"1960-01-01"	"2099-12-31"	"ugrd10m"	"ECHAM5_nhd_1098954_19600101.20991231_ugrd10m.RData"
"nhd_1098954"	"1960-01-01"	"2099-12-31"	"vgrd10m"	"ECHAM5_nhd_1098954_19600101.20991231_vgrd10m.RData"
"nhd_1098968"	"1960-01-01"	"2099-12-31"	"airtemp"	"ECHAM5_nhd_1098968_19600101.20991231_airtemp.RData"
"nhd_1098968"	"1960-01-01"	"2099-12-31"	"dlwrfsfc"	"ECHAM5_nhd_1098968_19600101.20991231_dlwrfsfc.RData"
"nhd_1098968"	"1960-01-01"	"2099-12-31"	"dswrfsfc"	"ECHAM5_nhd_1098968_19600101.20991231_dswrfsfc.RData"
"nhd_1098968"	"1960-01-01"	"2099-12-31"	"precip"	"ECHAM5_nhd_1098968_19600101.20991231_precip.RData"
"nhd_1098968"	"1960-01-01"	"2099-12-31"	"pressfc"	"ECHAM5_nhd_1098968_19600101.20991231_pressfc.RData"
"nhd_1098968"	"1960-01-01"	"2099-12-31"	"relhum"	"ECHAM5_nhd_1098968_19600101.20991231_relhum.RData"
"nhd_1098968"	"1960-01-01"	"2099-12-31"	"ugrd10m"	"ECHAM5_nhd_1098968_19600101.20991231_ugrd10m.RData"
"nhd_1098968"	"1960-01-01"	"2099-12-31"	"vgrd10m"	"ECHAM5_nhd_1098968_19600101.20991231_vgrd10m.RData"
"nhd_1098974"	"1960-01-01"	"2099-12-31"	"airtemp"	"ECHAM5_nhd_1098974_19600101.20991231_airtemp.RData"
"nhd_1098974"	"1960-01-01"	"2099-12-31"	"dlwrfsfc"	"ECHAM5_nhd_1098974_19600101.20991231_dlwrfsfc.RData"
"nhd_1098974"	"1960-01-01"	"2099-12-31"	"dswrfsfc"	"ECHAM5_nhd_1098974_19600101.20991231_dswrfsfc.RData"
"nhd_1098974"	"1960-01-01"	"2099-12-31"	"precip"	"ECHAM5_nhd_1098974_19600101.20991231_precip.RData"
"nhd_1098974"	"1960-01-01"	"2099-12-31"	"pressfc"	"ECHAM5_nhd_1098974_19600101.20991231_pressfc.RData"
"nhd_1098974"	"1960-01-01"	"2099-12-31"	"relhum"	"ECHAM5_nhd_1098974_19600101.20991231_relhum.RData"
