"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","id"
"USGS-04114154",42.8141986,-84.2396911,13174201
"USGS-04114250",42.8716982,-84.3680302,12240722
"USGS-04114300",42.8550327,-84.4410883,13174353
"USGS-04118350",43.2644686,-85.7014314,13041388
"USGS-04118355",43.2347466,-85.6972636,13041388
"USGS-04118360",43.1966914,-85.6872618,13041400
"USGS-04118400",43.1605804,-85.6897606,13041400
"USGS-04118401",43.1594693,-85.6900384,13041400
"USGS-04118410",43.1239146,-85.6508688,13041408
"USGS-04120481",44.4966823,-84.775864,166763879
"USGS-04120670",44.3194625,-84.6325223,13044827
"USGS-04120750",44.3252946,-84.7600273,12128106
"USGS-04120915",44.4136262,-84.8311432,13045935
"USGS-04121003",44.2564017,-85.0336484,12228973
"USGS-04121150",44.1441848,-84.7825249,13046011
"USGS-04121185",44.2302853,-85.5461677,12228703
"USGS-04121350",44.0372398,-85.0336447,12229015
"USGS-04121680",43.485857,-85.6306019,12133816
"USGS-04121750",43.4880793,-85.627824,12133784
"USGS-04121802",43.6266935,-85.291148,13040034
"USGS-04121950",43.4386345,-85.6636572,12133816
"USGS-04122070",43.2839053,-86.1061676,12135316
"USGS-04122077",43.3327931,-86.13367,12135314
"USGS-04122090",43.2183477,-86.2847815,12135050
"USGS-04122150",43.2311246,-86.3297831,12135050
"USGS-04122169",43.6058333,-85.6433333,13040042
"USGS-04122178",43.5461302,-85.800887,13040050
"USGS-04122180",43.5494625,-85.852,13040050
"USGS-04122200",43.4641786,-86.2325668,12135310
"USGS-04122209",43.4272334,-86.3050675,12135310
"USGS-0412220910",43.4269556,-86.3059009,12135310
"USGS-04122230",43.7950068,-86.3584113,8992042
"USGS-04122235",43.7633398,-86.4078567,8990678
"USGS-04122400",43.9333415,-86.114517,8992040
"USGS-04122415",43.7022375,-85.8695034,13039608
"USGS-04123465",44.8627897,-84.8330927,13056850
"USGS-04123468",44.8639009,-84.8297592,13056850
"USGS-04123470",44.845012,-84.8330925,13056852
"USGS-04123482",44.7922343,-84.842259,13056878
"USGS-04123493",44.7336237,-84.8378135,13056894
"USGS-04123540",44.6600136,-84.8186452,13056922
"USGS-04123563",44.6400112,-84.947819,13056932
"USGS-04123575",44.5856389,-85.0438056,13057968
"USGS-04123584",44.4921111,-84.9646944,12118238
"USGS-04123590",44.5111226,-85.0058762,13057982
"USGS-04123610",44.7691751,-85.0214358,13057942
"USGS-04123628",44.6772317,-85.0156009,13057962
"USGS-04123630",44.6716764,-85.0067115,13057962
"USGS-04123635",44.640843,-85.0269898,13057962
"USGS-04123910",44.5122252,-85.6220116,13057990
"USGS-04124400",44.1905645,-85.4967212,12228769
"USGS-04126145",44.0419541,-85.7942291,12229017
"USGS-04126160",44.0427874,-85.7942291,12229017
"USGS-04126164",44.044176,-85.8192302,12229017
"USGS-04126166",44.0577867,-85.8431204,12229017
"USGS-04126745",44.679166,-86.0595355,12228479
"USGS-04126858",44.9166663,-85.6928604,13057918
"USGS-04126957",44.7072283,-85.1989434,13057950
"USGS-04126991",44.6436137,-85.5092339,13057382
"USGS-04127553",44.980004,-85.2528419,13057902
"USGS-04127820",45.1552861,-84.9811614,120054517
"USGS-041278852",46.4864105,-84.3019811,167671404
"USGS-04127945",46.0566805,-84.7981114,12213529
"USGS-04127963",45.3977885,-84.8225453,12502183
"USGS-041279757",45.5508435,-84.9058865,13054306
"USGS-04127976",45.5938989,-84.9136656,13054306
"USGS-041279778",45.5294557,-84.7728243,12501759
"USGS-04127982",45.1127903,-84.59725,13055360
"USGS-04127984",45.146124,-84.5614158,13055360
"USGS-041279905",45.1441789,-84.7422572,13054950
"USGS-041279906",45.1583455,-84.7233676,13054950
"USGS-041279907",45.1866789,-84.6972558,13055318
"USGS-041279908",45.203901,-84.7069786,13055318
"USGS-04127991",45.2283455,-84.691145,13055318
"USGS-04128850",45.048901,-84.5719697,13055462
"USGS-04128860",45.0658454,-84.5316903,13055462
"USGS-04128890",45.0666787,-84.5303014,13055462
"USGS-04128900",45.0669565,-84.5303014,13055462
"USGS-04129025",45.2241803,-84.4289109,13055288
"USGS-04129030",45.2216801,-84.4119654,12502455
"USGS-04129031",45.2264025,-84.4255774,13055288
"USGS-04130040",45.1183455,-84.4500207,13055462
"USGS-04130050",45.1133448,-84.3852947,13055462
"USGS-04130210",45.2241796,-84.3311273,13055312
"USGS-04130600",45.1838998,-84.0738931,13055304
"USGS-04130605",45.2025112,-84.0916718,13055300
"USGS-04130630",45.2447338,-84.064727,12497870
"USGS-04132700",45.0733441,-83.7758232,12960343
"USGS-04134500",44.8572337,-83.5955349,12961453
"USGS-04134800",45.0611228,-83.5858147,12960345
"USGS-04135375",44.8316667,-84.7472222,13056856
"USGS-04135540",44.7752921,-84.6194704,13056882
"USGS-04135545",44.7702922,-84.6236373,13056882
"USGS-04135580",44.7008482,-84.6919728,13056888
"USGS-04135590",44.6991815,-84.6922506,13056888
"USGS-04135610",44.6564041,-84.6889169,13056918
"USGS-04135640",44.4000185,-84.4547386,12954210
"USGS-04136220",44.6661253,-84.1833423,12952262
"USGS-04137025",44.4541823,-83.6744254,12953664
"USGS-04137030",44.4727933,-83.5710884,12953672
"USGS-04137499",44.4355712,-83.4421946,12953672
"USGS-04138615",44.4147391,-84.0286077,13045927
"USGS-0413861550",44.4102948,-84.0283299,13045927
"USGS-04138616",44.4147392,-84.0355525,13045927
"USGS-04138645",44.4116837,-84.0355524,13045927
"USGS-04138646",44.4094615,-84.0355524,13045927
"USGS-04138650",44.4044615,-84.0299965,13045927
"USGS-04138652",44.403906,-84.0299965,13045927
"USGS-04140400",44.3258517,-84.0697194,13045955
"USGS-04145755",43.3158591,-84.1124781,13027799
"USGS-04145760",43.3378038,-84.0727546,13028977
"USGS-04145923",43.0155832,-83.259665,13204145
"USGS-04146055",43.1144444,-83.3713889,13204347
"USGS-04153750",43.6397507,-85.0005805,13039640
"USGS-04154520",43.5841955,-85.1419742,13039696
"USGS-04157015",43.4994689,-83.8933063,13204317
"USGS-04157045",43.5450241,-83.9069193,13203579
"USGS-04160944",42.5822553,-83.3616021,13183762
"USGS-04161790",42.7166984,-83.0874322,13183508
"USGS-04165700",42.3472602,-82.9585276,10848644
