"OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime"
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0062-00-201.1007111630.I20S","Sample-Routine","Water","Surface Water",2010-07-11,"16:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0062-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.3,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-07-11 21:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0044-00-206.1006211100.I20S","Sample-Routine","Water","Surface Water",2010-06-21,"11:00:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0044-00-206",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.4,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-06-21 16:00:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0079-00-103.1009191430.I20S","Sample-Routine","Water","Surface Water",2010-09-19,"14:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0079-00-103","6 inch waves",NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",0.7,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-09-19 19:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0044-00-206.1008081800.I20S","Sample-Routine","Water","Surface Water",2010-08-08,"18:00:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0044-00-206",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",2.5,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-08-08 23:00:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0079-00-103.1009080945.I20S","Sample-Routine","Water","Surface Water",2010-09-08,"09:45:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0079-00-103",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.5,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-09-08 14:45:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0079-00-103.1006160930.I20S","Sample-Routine","Water","Surface Water",2010-06-16,"09:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0079-00-103",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.7,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-06-16 14:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0062-00-201.1006021930.I20S","Sample-Routine","Water","Surface Water",2010-06-02,"19:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0062-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",1.6,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-06-03 00:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0142-00-201.1008081600.I20S","Sample-Routine","Water","Surface Water",2010-08-08,"16:00:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0142-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",2,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-08-08 21:00:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0079-00-103.1006291645.I20S","Sample-Routine","Water","Surface Water",2010-06-29,"16:45:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0079-00-103",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",3.8,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-06-29 21:45:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0062-00-201.1008081830.I20S","Sample-Routine","Water","Surface Water",2010-08-08,"18:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0062-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",3,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-08-08 23:30:00,NA
